date,open,high,low,close,volume,average,barCount
2004-11-18,44.43,44.49,44.07,44.38,5992000.0,44.38,1
2004-11-19,44.49,44.92,44.47,44.78,11655300.0,44.78,1
2004-11-22,44.75,44.97,44.74,44.95,11996000.0,44.95,1
2004-11-23,44.88,44.92,44.72,44.75,3169200.0,44.75,1
2004-11-24,44.93,45.05,44.79,45.05,6105100.0,45.05,1
2004-11-26,45.25,45.6,45.06,45.29,3097700.0,45.29,1
2004-11-29,45.1,45.5,45.08,45.4,3759000.0,45.4,1
2004-11-30,45.37,45.41,44.82,45.12,3859100.0,45.12,1
2004-12-01,45.28,45.59,45.26,45.38,2037500.0,45.38,1
2004-12-02,45.55,45.57,44.68,44.95,6457800.0,44.95,1
2004-12-03,45.04,46.0,44.8,45.6,4218300.0,45.6,1
2004-12-06,45.39,45.47,45.11,45.17,3103000.0,45.17,1
2004-12-07,45.3,45.32,45.07,45.11,3809400.0,45.11,1
2004-12-08,43.8,44.02,43.36,44.01,6150500.0,44.01,1
2004-12-09,43.75,43.9,43.2,43.78,3553400.0,43.78,1
2004-12-10,43.37,43.6,43.31,43.44,2464300.0,43.44,1
2004-12-13,43.61,44.01,43.51,43.91,1445100.0,43.91,1
2004-12-14,43.76,43.8,43.51,43.55,2240600.0,43.55,1
2004-12-15,44.1,44.17,43.92,43.99,2641400.0,43.99,1
2004-12-16,43.99,44.05,43.58,43.68,3269800.0,43.68,1
2004-12-17,43.93,44.22,43.78,44.19,1889300.0,44.19,1
2004-12-20,44.33,44.37,44.13,44.34,1942100.0,44.34,1
2004-12-21,44.13,44.24,44.05,44.22,1373400.0,44.22,1
2004-12-22,44.2,44.23,43.89,44.02,2706800.0,44.02,1
2004-12-23,44.17,44.35,44.05,44.27,639800.0,44.27,1
2004-12-27,44.29,44.56,44.27,44.48,2643700.0,44.48,1
2004-12-28,44.42,44.47,44.29,44.37,773200.0,44.37,1
2004-12-29,43.92,44.02,43.35,43.66,5633500.0,43.66,1
2004-12-30,43.5,43.88,43.49,43.83,1289700.0,43.83,1
