date,open,high,low,close,volume,average,barCount
2000-05-26,90.56,91.44,90.56,91.44,38400.0,91.438,1
2000-05-30,92.75,94.81,92.75,94.81,28800.0,94.813,1
2000-05-31,95.13,96.38,95.13,95.16,18000.0,95.156,1
2000-06-01,97.11,97.31,97.11,97.31,3500.0,97.313,1
2000-06-02,101.72,102.38,101.72,102.38,14700.0,102.375,1
2000-06-05,102.13,103.13,101.88,102.0,24200.0,102.0,1
2000-06-06,103.61,104.81,102.69,103.0,75900.0,103.0,1
2000-06-07,102.38,103.13,101.44,103.13,65500.0,103.125,1
2000-06-08,104.25,104.25,102.88,102.88,45700.0,102.88,1
2000-06-09,103.88,104.69,103.81,104.69,20800.0,104.688,1
2000-06-12,105.0,105.0,101.5,101.58,42600.0,101.578,1
2000-06-13,101.33,102.88,100.38,102.88,84100.0,102.875,1
2000-06-14,103.72,103.72,102.38,102.38,21600.0,102.38,1
2000-06-15,101.75,102.5,100.77,102.5,13400.0,102.5,1
2000-06-16,102.94,103.0,101.94,101.94,15100.0,101.94,1
2000-06-19,102.5,104.5,102.03,104.5,29600.0,104.5,1
2000-06-20,104.66,105.34,104.25,105.19,23500.0,105.188,1
2000-06-21,104.25,105.88,104.25,105.69,33400.0,105.688,1
2000-06-22,106.0,106.0,102.5,102.5,69800.0,102.5,1
2000-06-23,103.5,103.5,101.0,101.81,117900.0,101.812,1
2000-06-26,102.22,103.06,101.75,103.06,46800.0,103.062,1
2000-06-27,103.22,104.13,101.44,101.44,56400.0,101.44,1
2000-06-28,101.88,104.38,101.88,104.0,85300.0,104.0,1
2000-06-29,103.5,103.69,102.06,102.38,106100.0,102.375,1
2000-06-30,102.44,103.36,101.59,103.36,585900.0,103.359,1
2000-07-03,103.13,104.81,103.0,104.81,7900.0,104.812,1
2000-07-05,104.22,104.25,103.27,103.63,69400.0,103.625,1
2000-07-06,103.66,104.84,102.69,104.84,77300.0,104.844,1
2000-07-07,104.86,105.91,104.86,105.5,35900.0,105.5,1
2000-07-10,105.44,106.56,105.44,106.19,22400.0,106.188,1
2000-07-11,106.0,106.59,105.69,106.06,126600.0,106.062,1
2000-07-12,106.63,108.19,106.5,108.19,22600.0,108.188,1
2000-07-13,108.28,108.53,108.0,108.53,51300.0,108.531,1
2000-07-14,109.09,109.09,107.75,108.63,27400.0,108.625,1
2000-07-17,108.72,109.19,108.44,109.0,23300.0,109.0,1
2000-07-18,108.28,108.28,107.13,107.13,117700.0,107.13,1
2000-07-19,106.78,106.78,105.25,105.25,17700.0,105.25,1
2000-07-20,106.25,107.0,106.25,107.0,75200.0,107.0,1
2000-07-21,106.38,106.38,104.06,104.06,75300.0,104.062,1
2000-07-24,104.63,104.63,102.33,102.55,18500.0,102.547,1
2000-07-25,103.36,103.36,102.13,102.75,18400.0,102.75,1
2000-07-26,102.0,102.56,100.94,102.56,7900.0,102.562,1
