date,open,high,low,close,volume,average,barCount
2000-03-27,118.0,119.5,117.13,117.75,11752600.0,117.75,1
2000-03-28,116.98,117.81,113.13,114.75,18336300.0,114.75,1
2000-03-29,115.38,115.44,110.0,110.0,27190900.0,110.0,1
2000-03-30,107.25,112.75,103.5,107.25,42328700.0,107.25,1
2000-03-31,108.14,110.63,104.0,109.5,31349900.0,109.5,1
2000-04-03,107.77,109.13,100.75,103.0,31537100.0,103.0,1
2000-04-04,103.63,103.94,88.31,101.94,66214200.0,101.938,1
2000-04-05,97.5,103.94,96.25,100.13,37009800.0,100.125,1
2000-04-06,102.38,103.88,99.75,102.44,30498100.0,102.438,1
2000-04-07,104.13,107.38,102.63,106.63,20645500.0,106.625,1
2000-04-10,107.63,107.69,99.25,100.13,26988200.0,100.125,1
2000-04-11,97.13,101.5,95.75,97.75,34497200.0,97.75,1
2000-04-12,97.63,98.75,90.25,92.38,34831700.0,92.375,1
2000-04-13,92.81,96.0,88.0,88.0,46330500.0,88.0,1
2000-04-14,86.06,88.5,78.0,80.38,60851300.0,80.375,1
2000-04-17,78.02,90.0,78.0,89.63,55398600.0,89.625,1
2000-04-18,89.48,93.0,87.38,92.0,36261900.0,92.0,1
2000-04-19,92.5,93.63,89.06,89.19,28082500.0,89.188,1
2000-04-20,90.38,90.97,86.06,87.25,21255600.0,87.25,1
2000-04-24,83.44,85.25,79.88,84.75,31246900.0,84.75,1
2000-04-25,86.5,90.5,86.0,90.47,28663200.0,90.469,1
2000-04-26,90.63,92.42,87.13,87.38,25688300.0,87.375,1
2000-04-27,83.5,92.48,83.5,91.25,37036300.0,91.25,1
2000-04-28,93.56,94.75,92.13,94.75,24828400.0,94.75,1
2000-05-01,95.75,96.88,94.25,95.63,23205700.0,95.625,1
2000-05-02,94.88,95.63,89.75,90.13,20307900.0,90.125,1
2000-05-03,89.5,90.25,85.52,89.13,26589700.0,89.125,1
2000-05-04,89.0,90.75,87.63,89.31,17750700.0,89.313,1
2000-05-05,88.13,92.31,88.03,91.44,20571200.0,91.438,1
2000-05-08,90.5,90.75,87.75,87.88,13903000.0,87.875,1
2000-05-09,88.5,89.13,84.31,86.0,19805200.0,86.0,1
2000-05-10,84.38,84.98,79.5,79.75,34847600.0,79.75,1
2000-05-11,82.75,85.25,80.88,84.63,24709700.0,84.625,1
2000-05-12,85.38,87.56,84.0,84.63,17832000.0,84.625,1
2000-05-15,84.81,88.63,82.63,88.31,17950800.0,88.313,1
2000-05-16,90.0,91.5,88.06,90.81,23828900.0,90.812,1
2000-05-17,89.25,90.5,87.75,88.94,20339400.0,88.938,1
2000-05-18,89.0,89.36,85.38,85.75,19063000.0,85.75,1
2000-05-19,83.75,85.0,81.31,81.69,28178100.0,81.688,1
2000-05-22,81.63,82.25,75.58,81.63,43882000.0,81.625,1
2000-05-23,81.38,82.63,74.25,74.81,31920500.0,74.812,1
2000-05-24,75.0,79.88,72.25,79.5,49476000.0,79.5,1
2000-05-25,80.25,82.25,76.5,77.75,29632700.0,77.75,1
2000-05-26,77.75,79.25,75.75,77.75,18203200.0,77.75,1
2000-05-30,80.0,85.94,80.0,85.56,30887500.0,85.563,1
2000-05-31,84.47,86.67,82.75,83.13,29675400.0,83.125,1
2000-06-01,85.19,88.38,84.0,87.38,28993500.0,87.375,1
2000-06-02,92.63,94.11,91.88,93.63,32244100.0,93.625,1
2000-06-05,92.25,95.31,91.88,93.86,23784300.0,93.859,1
2000-06-06,93.19,95.0,90.88,91.25,23200500.0,91.25,1
2000-06-07,91.56,94.0,89.56,93.69,22524400.0,93.688,1
2000-06-08,94.63,94.88,91.63,93.25,19313800.0,93.25,1
2000-06-09,94.75,94.75,93.0,93.75,17014600.0,93.75,1
2000-06-12,94.31,94.31,90.0,90.75,16484700.0,90.75,1
2000-06-13,90.5,94.63,89.36,94.25,25187900.0,94.25,1
2000-06-14,94.88,94.88,91.5,92.13,20274500.0,92.125,1
2000-06-15,91.88,93.88,90.88,93.75,18807800.0,93.75,1
2000-06-16,94.75,95.31,93.06,94.25,21203400.0,94.25,1
2000-06-19,94.02,98.25,92.69,98.0,20042500.0,98.0,1
2000-06-20,98.25,99.69,97.19,97.63,20988300.0,97.625,1
2000-06-21,96.81,99.72,96.69,98.88,20880600.0,98.875,1
2000-06-22,98.63,99.0,94.5,95.25,21526700.0,95.25,1
2000-06-23,95.0,95.5,91.38,91.5,24888100.0,91.5,1
2000-06-26,93.06,94.42,92.0,94.0,22169200.0,94.0,1
2000-06-27,93.77,95.06,92.38,92.88,14786000.0,92.875,1
2000-06-28,92.98,95.5,92.5,94.0,19259800.0,94.0,1
2000-06-29,92.94,93.38,90.63,91.64,21355800.0,91.641,1
2000-06-30,91.81,93.95,91.31,93.44,15153100.0,93.437,1
2000-07-03,93.5,95.25,93.25,95.25,5212000.0,95.25,1
2000-07-05,93.63,93.97,90.88,91.56,16489000.0,91.563,1
2000-07-06,91.56,94.75,90.06,94.0,23594800.0,94.0,1
2000-07-07,95.0,97.0,94.44,95.94,16603200.0,95.938,1
2000-07-10,94.69,95.88,94.0,94.48,12659400.0,94.484,1
2000-07-11,94.06,95.75,92.81,95.0,14374600.0,95.0,1
2000-07-12,95.44,97.75,94.63,97.25,18252600.0,97.25,1
2000-07-13,97.94,99.75,97.13,98.5,19566700.0,98.5,1
2000-07-14,100.25,101.13,98.81,100.63,17219400.0,100.625,1
2000-07-17,100.94,102.06,99.88,101.75,13140500.0,101.75,1
2000-07-18,100.38,100.78,98.36,99.5,20684000.0,99.5,1
2000-07-19,98.31,98.94,95.66,97.25,21828500.0,97.25,1
2000-07-20,97.88,100.5,97.27,100.38,19521200.0,100.375,1
