date,open,high,low,close,volume,average,barCount
2000-03-27,153.38,153.78,151.81,151.94,8798600.0,151.938,1
2000-03-28,151.25,152.98,150.59,151.06,6334400.0,151.062,1
2000-03-29,151.56,152.48,149.66,151.22,6747500.0,151.219,1
2000-03-30,150.16,151.92,147.13,148.69,9491900.0,148.688,1
2000-03-31,149.63,152.31,148.44,150.38,9249100.0,150.375,1
2000-04-03,150.13,151.25,148.69,151.25,8508200.0,151.25,1
2000-04-04,151.75,153.0,141.39,145.75,21060400.0,145.75,1
2000-04-05,147.88,150.81,147.63,149.19,8227900.0,149.188,1
2000-04-06,150.25,151.69,149.0,150.48,6378500.0,150.484,1
2000-04-07,151.56,152.13,150.5,151.44,6023600.0,151.438,1
2000-04-10,151.75,153.11,150.31,150.84,9624200.0,150.844,1
2000-04-11,150.0,151.63,148.38,150.41,9006400.0,150.406,1
2000-04-12,150.38,151.16,146.16,146.28,10779700.0,146.281,1
2000-04-13,147.47,148.16,141.13,144.25,12226800.0,144.25,1
2000-04-14,142.63,142.81,133.5,136.0,29604000.0,136.0,1
2000-04-17,135.19,140.75,134.69,140.75,23918200.0,140.75,1
2000-04-18,140.56,144.47,139.78,144.47,11070700.0,144.469,1
2000-04-19,144.5,145.13,142.53,143.13,6553700.0,143.125,1
2000-04-20,143.56,143.94,142.38,143.81,8537600.0,143.812,1
2000-04-24,141.5,143.31,140.5,142.25,12893100.0,142.25,1
2000-04-25,144.63,148.16,144.44,148.16,14102000.0,148.156,1
2000-04-26,147.97,148.75,146.0,146.48,7711100.0,146.484,1
2000-04-27,143.0,147.34,143.0,146.0,15595300.0,146.0,1
2000-04-28,147.0,147.86,145.06,145.09,8743400.0,145.094,1
2000-05-01,146.56,148.48,145.84,147.06,7328300.0,147.062,1
2000-05-02,145.5,147.13,144.13,144.13,9411900.0,144.13,1
2000-05-03,144.0,144.0,139.78,140.75,12630700.0,140.75,1
2000-05-04,142.0,142.36,140.75,141.81,5963600.0,141.812,1
2000-05-05,141.06,144.0,140.94,143.53,7862400.0,143.531,1
2000-05-08,142.75,143.38,141.84,142.45,5064100.0,142.453,1
2000-05-09,143.06,143.41,140.27,141.31,5620300.0,141.312,1
2000-05-10,140.5,140.97,137.75,138.13,10293900.0,138.125,1
2000-05-11,140.13,141.5,139.13,141.28,7091100.0,141.281,1
2000-05-12,141.81,143.47,141.63,142.81,5960800.0,142.812,1
2000-05-15,142.75,145.61,142.0,145.28,4441300.0,145.281,1
2000-05-16,146.56,147.72,145.31,146.69,8192200.0,146.688,1
2000-05-17,145.69,146.19,144.47,145.16,5907200.0,145.156,1
2000-05-18,145.63,146.31,143.38,143.38,4325600.0,143.38,1
2000-05-19,142.56,143.23,140.41,141.13,6518400.0,141.125,1
2000-05-22,141.25,141.47,137.0,140.06,10839400.0,140.062,1
2000-05-23,140.44,140.81,137.56,138.0,7979200.0,138.0,1
2000-05-24,138.0,140.69,136.5,140.25,11084500.0,140.25,1
2000-05-25,140.69,141.81,137.72,137.84,8278900.0,137.844,1
2000-05-26,138.81,139.69,137.33,138.0,4814000.0,138.0,1
2000-05-30,140.0,142.94,139.47,142.5,5362700.0,142.5,1
2000-05-31,142.56,144.0,142.09,142.81,6056500.0,142.812,1
2000-06-01,143.69,145.44,143.0,145.31,8961600.0,145.312,1
2000-06-02,148.94,149.09,147.48,147.84,8962200.0,147.844,1
2000-06-05,147.47,148.22,146.88,147.13,6998100.0,147.125,1
2000-06-06,146.63,147.78,145.91,146.47,4858900.0,146.469,1
2000-06-07,146.63,148.0,146.0,147.48,4919500.0,147.484,1
2000-06-08,147.5,147.75,146.06,146.91,5723100.0,146.906,1
2000-06-09,147.5,147.97,145.63,146.59,3085300.0,146.594,1
2000-06-12,146.97,146.97,144.88,144.88,3478900.0,144.88,1
2000-06-13,144.81,147.75,144.63,147.59,6558700.0,147.594,1
2000-06-14,148.25,148.88,147.19,147.84,6420500.0,147.844,1
2000-06-15,148.13,148.75,146.84,148.16,5881200.0,148.156,1
2000-06-16,148.31,148.31,145.88,146.59,5567900.0,146.594,1
2000-06-19,146.47,149.16,146.25,148.47,5106900.0,148.469,1
2000-06-20,148.19,148.88,147.0,147.94,6480000.0,147.938,1
2000-06-21,146.94,148.44,146.89,147.88,3115000.0,147.875,1
2000-06-22,147.56,147.69,145.0,145.63,7490500.0,145.625,1
2000-06-23,145.81,146.13,143.88,144.38,4863300.0,144.375,1
2000-06-26,145.38,146.25,144.88,146.23,5201300.0,146.234,1
2000-06-27,145.98,146.72,145.02,145.16,4159500.0,145.156,1
2000-06-28,145.63,146.98,145.31,145.56,5347700.0,145.562,1
2000-06-29,144.75,145.75,143.52,144.19,6345700.0,144.188,1
2000-06-30,143.94,145.59,143.89,145.28,7420200.0,145.281,1
2000-07-03,145.44,147.44,145.19,147.28,1436600.0,147.281,1
2000-07-05,146.38,146.66,144.38,144.63,2748200.0,144.625,1
2000-07-06,144.94,146.47,144.22,145.75,5963200.0,145.75,1
2000-07-07,146.69,148.78,146.25,148.09,3034800.0,148.094,1
2000-07-10,147.88,148.91,147.53,147.84,2816100.0,147.844,1
2000-07-11,147.47,149.13,147.16,148.16,5431600.0,148.156,1
2000-07-12,149.28,150.13,148.69,149.13,5883000.0,149.125,1
2000-07-13,149.98,150.38,149.19,149.78,5356000.0,149.781,1
2000-07-14,150.44,151.25,149.67,151.25,5341900.0,151.25,1
2000-07-17,150.98,151.98,150.69,151.0,4208300.0,151.0,1
2000-07-18,150.63,150.63,149.34,149.77,4262100.0,149.766,1
2000-07-19,149.47,149.91,148.25,148.56,8506800.0,148.562,1
2000-07-20,149.0,150.63,148.81,150.63,4538900.0,150.625,1
2000-07-21,149.75,149.75,147.69,147.69,5656900.0,147.69,1
2000-07-24,148.13,148.86,146.56,146.84,5628500.0,146.844,1
2000-07-25,147.75,147.84,146.78,147.31,4757100.0,147.312,1
2000-07-26,146.97,147.16,145.64,145.88,12062500.0,145.875,1
2000-07-27,145.94,146.63,144.69,145.38,7652600.0,145.375,1
2000-07-28,145.72,145.91,141.52,142.09,6229500.0,142.094,1
2000-07-31,142.94,144.13,142.06,143.0,5265500.0,143.0,1
2000-08-01,143.63,144.72,143.13,143.88,3946600.0,143.875,1
2000-08-02,143.88,145.41,143.63,144.59,7439800.0,144.594,1
2000-08-03,142.88,145.81,142.63,145.59,4607100.0,145.594,1
2000-08-04,146.31,146.72,145.41,146.38,3686600.0,146.375,1
2000-08-07,146.72,148.44,146.38,148.13,4159800.0,148.125,1
2000-08-08,147.5,148.81,147.5,148.69,3658700.0,148.688,1
2000-08-09,149.14,149.22,147.38,147.44,5383800.0,147.438,1
2000-08-10,147.53,147.86,146.28,146.72,4193400.0,146.719,1
2000-08-11,146.63,148.0,145.56,147.41,5089400.0,147.406,1
2000-08-14,147.78,149.56,147.06,149.28,2966700.0,149.281,1
2000-08-15,149.34,149.81,148.56,149.16,5564600.0,149.156,1
2000-08-16,149.31,149.94,147.84,148.63,5191600.0,148.625,1
2000-08-17,148.69,150.44,148.34,150.19,5652200.0,150.188,1
