date,open,high,low,close,volume,average,barCount
2016-02-03,128.28,129.94,127.92,127.95,11245617.0,128.736,53108
2016-02-04,128.22,128.59,127.51,128.57,8126689.0,128.185,35600
2016-02-05,127.89,129.0,127.59,128.72,6572499.0,128.347,32505
2016-02-08,129.72,131.63,129.68,131.49,10280767.0,131.008,48401
2016-02-09,132.04,132.06,130.96,131.63,11896235.0,131.602,53669
2016-02-10,131.7,132.84,131.11,132.79,8791701.0,132.046,46251
2016-02-11,134.44,135.25,133.01,133.72,16270194.0,134.071,68488
2016-02-12,132.64,133.13,130.93,131.5,9921925.0,131.948,46199
2016-02-16,130.72,130.75,129.8,130.11,8148043.0,130.296,36684
2016-02-17,129.64,129.83,128.71,129.31,9722341.0,129.143,41003
2016-02-18,129.4,131.0,129.36,130.9,7224867.0,130.367,32973
2016-02-19,130.91,131.82,130.73,131.0,6218926.0,131.187,29810
2016-02-22,131.1,131.11,130.7,130.94,4440769.0,130.87,19698
2016-02-23,129.88,131.74,129.78,131.47,6357464.0,131.098,27190
2016-02-24,132.4,133.39,130.95,131.21,7402679.0,132.278,33782
2016-02-25,131.48,132.56,131.32,131.68,4790921.0,131.876,23720
2016-02-26,130.31,130.81,130.04,130.41,6834751.0,130.41,29579
2016-02-29,130.47,131.17,130.42,130.98,12629372.0,130.776,51256
2016-03-01,130.82,130.85,128.32,128.43,10803719.0,128.899,41498
2016-03-02,128.32,128.97,128.21,128.96,5146594.0,128.633,22619
2016-03-03,129.07,129.94,128.77,129.43,4988380.0,129.392,21855
2016-03-04,128.75,129.13,127.76,128.6,7221489.0,128.272,31889
2016-03-07,128.45,128.67,128.05,128.56,3421518.0,128.369,16704
2016-03-08,130.35,130.99,129.95,129.98,5746321.0,130.362,27305
2016-03-09,129.08,129.69,128.81,129.19,5599980.0,129.137,24746
2016-03-10,129.5,129.84,127.92,128.66,8355867.0,128.55,38943
2016-03-11,128.82,128.88,127.21,127.36,6649665.0,127.67,28449
2016-03-14,127.82,128.39,127.66,127.76,4345265.0,127.985,20277
2016-03-15,128.5,128.66,127.61,127.88,11166300.0,128.037,43830
2016-03-16,127.75,128.52,127.37,128.26,7496114.0,127.922,33496
2016-03-17,128.51,129.34,128.49,128.79,6426893.0,128.946,29995
2016-03-18,129.04,129.51,128.7,129.06,6228879.0,129.118,26676
2016-03-21,128.25,128.62,127.74,128.07,4343451.0,128.14,20022
