date,open,high,low,close,volume,average,barCount
2006-04-10,546.0,548.0,541.36,544.16,484737.5,544.16,1
2006-04-11,546.56,547.12,538.4,545.6,162137.5,545.6,1
2006-04-12,545.76,550.48,542.48,542.72,156037.5,542.72,1
2006-04-13,540.0,551.92,539.2,550.56,70087.5,550.56,1
2006-04-17,553.6,559.2,549.44,558.32,114712.5,558.32,1
2006-04-18,560.8,568.4,556.56,566.0,115337.5,566.0,1
2006-04-19,564.64,577.28,563.92,574.8,98725.0,574.8,1
2006-04-20,575.36,577.28,564.08,568.72,105400.0,568.72,1
2006-04-21,567.12,585.84,566.4,582.48,133225.0,582.48,1
2006-04-24,571.2,579.6,566.32,568.08,130350.0,568.08,1
2006-04-25,573.44,574.48,556.96,565.12,356737.5,565.12,1
2006-04-26,563.52,566.8,555.6,556.32,112400.0,556.32,1
2006-04-27,552.8,556.64,548.56,549.6,79450.0,549.6,1
2006-04-28,554.08,564.0,551.92,556.96,108512.5,556.96,1
2006-05-01,561.2,573.2,560.0,572.0,69437.5,572.0,1
2006-05-02,574.72,581.52,570.72,578.72,108875.0,578.72,1
2006-05-03,579.84,579.84,560.0,561.76,126875.0,561.76,1
2006-05-04,554.96,558.16,538.24,546.56,194687.5,546.56,1
2006-05-05,546.4,547.76,541.44,544.0,83900.0,544.0,1
2006-05-08,537.04,543.92,530.4,543.04,164037.5,543.04,1
2006-05-09,543.92,553.44,542.08,547.2,97875.0,547.2,1
2006-05-10,546.56,558.16,539.84,558.16,88062.5,558.16,1
2006-05-11,568.0,568.4,559.36,562.4,129437.5,562.4,1
2006-05-12,563.52,563.52,552.32,552.88,75950.0,552.88,1
2006-05-15,539.76,542.16,531.6,533.04,83737.5,533.04,1
2006-05-16,536.56,543.2,530.48,533.6,100250.0,533.6,1
2006-05-17,533.36,534.0,523.12,525.6,102837.5,525.6,1
2006-05-18,525.44,534.32,520.8,533.92,81987.5,533.92,1
2006-05-19,528.0,531.68,521.2,524.56,101512.5,524.56,1
2006-05-22,519.12,532.56,519.12,530.24,96212.5,530.24,1
2006-05-23,538.0,547.36,537.68,542.16,78862.5,542.16,1
2006-05-24,537.68,543.44,528.4,528.8,50087.5,528.8,1
2006-05-25,533.44,543.04,530.48,542.4,37537.5,542.4,1
2006-05-26,539.68,545.84,538.64,542.0,33687.5,542.0,1
2006-05-30,549.76,552.64,545.76,546.56,61175.0,546.56,1
2006-05-31,541.12,543.28,532.64,541.84,58962.5,541.84,1
2006-06-01,534.72,546.0,532.08,534.56,115350.0,534.56,1
2006-06-02,542.08,553.2,540.4,551.2,55437.5,551.2,1
2006-06-05,557.52,558.24,547.52,549.92,49150.0,549.92,1
2006-06-06,544.72,551.6,542.4,550.08,22475.0,550.08,1
2006-06-07,546.16,546.64,536.08,538.24,45000.0,538.24,1
2006-06-08,532.24,536.96,526.48,536.96,38537.5,536.96,1
2006-06-09,540.0,545.6,540.0,544.56,42750.0,544.56,1
2006-06-12,547.12,547.12,534.88,536.64,26650.0,536.64,1
2006-06-13,527.52,529.84,521.04,521.44,75337.5,521.44,1
2006-06-14,524.08,527.28,520.0,526.32,41675.0,526.32,1
2006-06-15,530.8,532.16,527.6,529.28,38587.5,529.28,1
2006-06-16,527.76,531.76,522.0,530.0,27337.5,530.0,1
2006-06-19,526.56,526.88,519.92,524.32,23500.0,524.32,1
2006-06-20,527.28,529.6,519.36,522.32,27050.0,522.32,1
2006-06-21,522.72,533.84,520.24,530.8,30100.0,530.8,1
2006-06-22,533.52,536.24,529.52,536.0,29675.0,536.0,1
2006-06-23,531.44,537.68,530.96,535.12,14887.5,535.12,1
2006-06-26,533.36,542.8,532.0,541.6,23000.0,541.6,1
2006-06-27,545.04,547.36,541.04,544.64,43425.0,544.64,1
2006-06-28,543.76,549.76,540.72,546.48,30037.5,546.48,1
2006-06-29,546.8,556.72,546.48,556.08,59875.0,556.08,1
2006-06-30,556.08,560.16,555.44,558.16,32425.0,558.16,1
2006-07-03,561.68,562.96,559.44,559.44,20887.5,559.44,1
2006-07-05,559.12,569.2,558.24,568.0,62050.0,568.0,1
2006-07-06,566.4,568.8,561.6,566.16,42125.0,566.16,1
2006-07-07,571.44,572.0,558.16,558.8,51912.5,558.8,1
2006-07-10,556.56,558.8,541.12,556.48,24575.0,556.48,1
2006-07-11,562.48,564.8,559.92,560.64,29712.5,560.64,1
2006-07-12,563.2,569.12,558.88,569.12,78912.5,569.12,1
2006-07-13,574.0,586.32,574.0,586.0,203250.0,586.0,1
2006-07-14,593.2,596.8,585.36,585.76,207300.0,585.76,1
2006-07-17,581.84,585.68,572.16,573.2,125987.5,573.2,1
2006-07-18,579.6,583.04,561.04,566.0,132500.0,566.0,1
2006-07-19,562.0,564.16,549.28,558.8,109562.5,558.8,1
2006-07-20,561.2,562.8,550.8,552.8,71087.5,552.8,1
2006-07-21,557.84,561.6,552.16,556.16,63025.0,556.16,1
2006-07-24,552.0,561.44,549.6,561.36,49262.5,561.36,1
2006-07-25,563.36,563.52,549.68,552.0,136012.5,552.0,1
2006-07-26,551.28,558.4,549.76,553.36,60150.0,553.36,1
2006-07-27,558.24,559.36,553.44,557.44,45925.0,557.44,1
2006-07-28,552.4,554.0,543.2,548.0,141187.5,548.0,1
2006-07-31,550.24,557.44,546.0,556.16,60812.5,556.16,1
2006-08-01,559.2,564.0,556.8,561.2,56637.5,561.2,1
2006-08-02,565.36,571.36,564.48,568.96,95250.0,568.96,1
2006-08-03,559.76,565.84,558.4,564.48,61537.5,564.48,1
2006-08-04,564.08,564.08,554.64,558.48,38012.5,558.48,1
2006-08-07,568.72,577.12,567.2,576.0,171887.5,576.0,1
2006-08-08,572.0,578.72,569.6,570.4,52450.0,570.4,1
2006-08-09,571.2,576.8,567.52,569.36,61025.0,569.36,1
2006-08-10,563.68,564.32,553.76,556.8,112687.5,556.8,1
2006-08-11,557.84,559.2,553.36,557.84,37737.5,557.84,1
2006-08-14,548.8,550.96,545.52,548.72,45687.5,548.72,1
2006-08-15,550.72,553.04,545.44,545.68,29825.0,545.68,1
2006-08-16,543.52,546.16,536.16,537.44,91537.5,537.44,1
2006-08-17,530.72,532.16,525.6,528.4,114500.0,528.4,1
2006-08-18,530.24,532.0,522.0,529.44,79687.5,529.44,1
2006-08-21,535.28,539.68,532.0,539.36,120100.0,539.36,1
2006-08-22,538.4,540.08,534.64,536.4,73800.0,536.4,1
2006-08-23,532.8,534.4,523.6,527.6,91050.0,527.6,1
2006-08-24,526.96,534.0,525.84,534.0,51012.5,534.0,1
2006-08-25,540.0,542.4,532.4,532.4,118675.0,532.4,1
2006-08-28,524.16,524.48,516.56,519.04,134500.0,519.04,1
2006-08-29,514.08,516.96,510.4,513.52,121325.0,513.52,1
2006-08-30,514.64,518.8,505.6,518.8,141625.0,518.8,1
2006-08-31,514.4,518.48,510.64,518.4,90187.5,518.4,1
2006-09-01,518.0,518.4,508.32,510.0,73950.0,510.0,1
2006-09-05,506.96,508.4,502.88,506.48,92575.0,506.48,1
2006-09-06,501.44,507.12,497.36,497.6,126000.0,497.6,1
2006-09-07,498.64,499.28,492.24,495.52,119550.0,495.52,1
2006-09-08,496.32,496.96,486.64,487.2,171100.0,487.2,1
2006-09-11,481.44,486.8,476.96,480.32,199150.0,480.32,1
2006-09-12,480.48,482.48,469.2,470.08,182550.0,470.08,1
2006-09-13,471.92,475.44,467.84,472.0,207600.0,472.0,1
2006-09-14,470.96,472.4,462.16,465.2,162437.5,465.2,1
2006-09-15,462.08,465.6,455.44,464.48,258612.5,464.48,1
2006-09-18,466.32,471.76,460.0,466.56,186050.0,466.56,1
2006-09-19,468.48,471.6,449.84,450.0,256362.5,450.0,1
2006-09-20,445.44,451.28,439.28,440.4,417375.0,440.4,1
2006-09-21,442.8,447.6,439.92,447.12,260925.0,447.12,1
2006-09-22,448.4,450.24,436.4,437.12,244412.5,437.12,1
2006-09-25,434.32,450.4,432.48,445.36,231850.0,445.36,1
2006-09-26,443.36,449.6,439.76,443.36,197737.5,443.36,1
2006-09-27,446.96,457.6,436.48,457.28,237487.5,457.28,1
2006-09-28,457.6,464.0,452.8,453.2,165587.5,453.2,1
2006-09-29,452.4,456.96,446.4,454.48,114362.5,454.48,1
2006-10-02,453.6,455.2,442.0,442.48,99500.0,442.48,1
2006-10-03,436.96,439.2,424.88,425.92,233350.0,425.92,1
2006-10-04,428.4,433.6,419.68,432.32,244037.5,432.32,1
2006-10-05,441.28,441.92,432.0,436.72,190487.5,436.72,1
2006-10-06,434.8,436.88,427.6,434.8,160975.0,434.8,1
2006-10-09,436.88,445.04,435.36,436.8,197987.5,436.8,1
2006-10-10,432.56,434.72,427.28,429.36,197000.0,429.36,1
2006-10-11,429.2,431.68,421.2,421.2,187400.0,421.2,1
2006-10-12,422.4,427.44,420.16,427.44,244500.0,427.44,1
2006-10-13,429.76,434.88,428.16,429.2,229162.5,429.2,1
2006-10-16,428.48,438.4,424.88,437.76,188387.5,437.76,1
2006-10-17,439.92,439.92,429.76,431.92,148637.5,431.92,1
2006-10-18,430.16,435.68,420.4,422.88,201250.0,426.52,2817
2006-10-19,424.16,432.88,421.28,431.76,133875.0,428.096,2115
2006-10-20,432.48,432.48,420.48,422.0,170562.5,425.168,2318
2006-10-23,415.6,419.44,413.68,418.8,213400.0,416.328,2746
2006-10-24,416.64,424.24,416.32,423.04,124850.0,421.08,1897
