date,open,high,low,close,volume,average,barCount
2000-03-27,11.32,11.4,11.1,11.21,79800.0,11.211,1
2000-03-28,11.08,11.28,10.97,11.0,228000.0,11.0,1
2000-03-29,11.06,11.22,10.97,11.22,55000.0,11.2265,1
2000-03-30,11.26,11.65,11.19,11.53,207200.0,11.5315,1
2000-03-31,11.57,11.74,11.47,11.53,305200.0,11.5235,1
2000-04-03,11.72,11.9,11.69,11.9,229400.0,11.8985,1
2000-04-04,12.08,12.27,11.58,11.79,371000.0,11.789,1
2000-04-05,11.93,11.99,11.63,11.7,60800.0,11.6955,1
2000-04-06,11.68,11.87,11.62,11.63,45200.0,11.625,1
2000-04-07,11.75,11.75,11.44,11.44,87400.0,11.44,1
2000-04-10,11.6,11.88,11.47,11.72,85200.0,11.719,1
2000-04-11,11.9,12.2,11.88,12.0,786200.0,12.0,1
2000-04-12,12.03,12.58,12.03,12.31,481600.0,12.3125,1
2000-04-13,12.06,12.19,11.96,11.97,1226400.0,11.969,1
2000-04-14,11.69,11.81,11.19,11.31,290400.0,11.3125,1
2000-04-17,11.49,11.49,11.19,11.33,105600.0,11.328,1
2000-04-18,11.27,11.35,11.0,11.12,48000.0,11.117,1
2000-04-19,11.15,11.28,10.89,10.97,55000.0,10.9765,1
2000-04-20,11.05,11.26,11.05,11.25,278000.0,11.25,1
2000-04-24,11.15,11.39,11.15,11.28,39800.0,11.2735,1
2000-04-25,11.35,11.4,11.14,11.29,463800.0,11.289,1
2000-04-26,11.29,11.33,11.08,11.1,59800.0,11.0935,1
2000-04-27,11.1,11.21,11.0,11.06,128800.0,11.0545,1
2000-04-28,11.02,11.24,11.02,11.14,62400.0,11.1405,1
2000-05-01,11.04,11.19,11.0,11.13,42200.0,11.125,1
2000-05-02,11.13,11.47,11.13,11.47,54400.0,11.469,1
2000-05-03,11.42,11.42,11.13,11.28,178800.0,11.2815,1
2000-05-04,11.33,11.49,11.22,11.4,200600.0,11.3985,1
2000-05-05,11.39,11.5,11.38,11.39,20600.0,11.3905,1
2000-05-08,11.44,11.53,11.33,11.33,553000.0,11.33,1
2000-05-09,11.49,11.58,11.43,11.53,2006400.0,11.5315,1
2000-05-10,11.4,11.56,11.34,11.39,92400.0,11.3905,1
2000-05-11,11.39,11.55,11.39,11.54,65400.0,11.539,1
2000-05-12,11.62,11.62,11.47,11.58,28000.0,11.578,1
2000-05-15,11.56,11.89,11.56,11.78,83000.0,11.7815,1
2000-05-16,11.88,11.89,11.61,11.65,2446000.0,11.6565,1
2000-05-17,11.61,11.8,11.56,11.69,28000.0,11.6875,1
2000-05-18,11.65,11.7,11.5,11.6,420400.0,11.594,1
2000-05-19,11.56,11.67,11.53,11.63,44400.0,11.625,1
2000-05-22,11.67,11.67,11.47,11.56,103600.0,11.5625,1
2000-05-23,11.47,11.47,11.31,11.4,105600.0,11.3985,1
2000-05-24,11.28,11.45,11.25,11.35,89400.0,11.3515,1
2000-05-25,11.22,11.22,10.86,10.94,79400.0,10.9375,1
2000-05-26,10.88,10.88,10.75,10.77,56000.0,10.7655,1
2000-05-30,10.86,10.97,10.74,10.88,23200.0,10.883,1
2000-05-31,10.89,10.99,10.79,10.79,30800.0,10.79,1
2000-06-01,10.62,10.82,10.62,10.82,28000.0,10.8205,1
2000-06-02,10.85,11.0,10.85,11.0,58000.0,11.0,1
2000-06-05,11.03,11.03,10.86,10.9,63200.0,10.9065,1
2000-06-06,10.89,10.97,10.81,10.92,16600.0,10.922,1
2000-06-07,10.92,10.92,10.65,10.69,115000.0,10.6875,1
2000-06-08,10.62,10.71,10.57,10.67,112000.0,10.672,1
2000-06-09,10.68,10.76,10.58,10.65,144800.0,10.6565,1
2000-06-12,10.6,10.88,10.6,10.72,188200.0,10.719,1
2000-06-13,10.78,10.78,10.42,10.42,80000.0,10.415,1
2000-06-14,10.54,10.82,10.54,10.69,112800.0,10.6875,1
2000-06-15,10.71,10.81,10.64,10.69,148200.0,10.6875,1
2000-06-16,10.65,10.71,10.54,10.69,77400.0,10.6875,1
2000-06-19,10.63,10.63,10.35,10.35,125600.0,10.345,1
2000-06-20,10.29,10.36,10.15,10.15,137800.0,10.156,1
2000-06-21,10.1,10.2,10.03,10.11,214400.0,10.1095,1
2000-06-22,10.03,10.24,10.02,10.11,222200.0,10.1095,1
2000-06-23,10.06,10.17,10.06,10.12,159600.0,10.117,1
2000-06-26,10.17,10.17,9.88,9.88,68600.0,9.885,1
2000-06-27,10.0,10.4,10.0,10.28,334400.0,10.2815,1
2000-06-28,10.14,10.29,9.99,10.26,132200.0,10.258,1
2000-06-29,10.1,10.19,9.88,10.07,30600.0,10.0705,1
2000-06-30,10.07,10.1,9.82,9.82,37400.0,9.8205,1
2000-07-03,9.99,10.13,9.9,10.1,18600.0,10.094,1
2000-07-05,10.19,10.38,10.14,10.14,100400.0,10.1405,1
2000-07-06,10.18,10.18,9.88,9.88,121000.0,9.875,1
2000-07-07,10.0,10.0,9.74,9.83,199000.0,9.828,1
2000-07-10,9.83,10.09,9.83,9.97,71200.0,9.969,1
2000-07-11,10.1,10.5,10.1,10.5,90400.0,10.5,1
2000-07-12,10.59,10.6,10.38,10.45,69000.0,10.4455,1
2000-07-13,10.45,10.63,10.45,10.56,71600.0,10.5625,1
2000-07-14,10.57,10.57,10.28,10.35,50000.0,10.3515,1
2000-07-17,10.22,10.31,10.02,10.19,113600.0,10.1875,1
2000-07-18,10.11,10.19,10.03,10.03,99400.0,10.031,1
2000-07-19,10.1,10.17,9.96,10.03,81800.0,10.031,1
2000-07-20,10.1,10.1,9.88,9.96,47400.0,9.953,1
2000-07-21,9.92,10.12,9.92,10.0,63600.0,10.0,1
2000-07-24,10.11,10.11,9.89,10.02,66600.0,10.0155,1
2000-07-25,10.06,10.1,9.89,9.89,24400.0,9.8905,1
2000-07-26,9.87,9.97,9.81,9.83,26600.0,9.828,1
2000-07-27,9.87,9.95,9.81,9.94,12000.0,9.9375,1
2000-07-28,9.96,9.97,9.81,9.86,163000.0,9.8595,1
2000-07-31,9.94,10.06,9.88,9.9,18800.0,9.9065,1
2000-08-01,9.95,10.03,9.88,9.92,67400.0,9.914,1
2000-08-02,9.99,10.03,9.86,9.97,40800.0,9.9765,1
2000-08-03,10.06,10.15,9.97,10.09,15400.0,10.086,1
2000-08-04,10.05,10.05,9.87,9.99,24000.0,9.992,1
2000-08-07,9.94,10.19,9.94,10.19,78400.0,10.1875,1
2000-08-08,10.2,10.44,10.2,10.44,205200.0,10.4375,1
2000-08-09,10.49,10.55,10.42,10.45,100000.0,10.4455,1
2000-08-10,10.44,10.44,10.17,10.29,38600.0,10.289,1
2000-08-11,10.22,10.5,10.22,10.5,70800.0,10.5,1
