date,open,high,low,close,volume,average,barCount
2018-06-19,49.7,50.06,49.58,49.96,15900.0,49.813,41
2018-06-20,50.45,50.89,50.45,50.58,181707.0,50.681,693
2018-06-21,50.77,50.85,50.2,50.27,423208.0,50.456,470
2018-06-22,50.59,50.61,50.19,50.49,178349.0,50.468,308
2018-06-25,50.23,50.23,49.01,49.45,821013.0,49.315,1243
2018-06-26,49.72,49.78,49.35,49.53,99723.0,49.571,348
2018-06-27,49.82,50.0,49.1,49.1,141745.0,49.584,359
2018-06-28,49.1,49.79,48.97,49.59,333904.0,49.202,681
2018-06-29,49.8,49.84,49.42,49.53,141427.0,49.676,325
2018-07-02,49.11,49.84,48.94,49.84,314872.0,49.342,457
2018-07-03,50.0,50.0,49.18,49.23,93886.0,49.566,296
2018-07-05,49.59,50.0,49.33,49.98,315484.0,49.737,551
2018-07-06,50.14,50.82,49.93,50.77,196736.0,50.509,619
2018-07-09,51.2,51.2,50.65,51.06,111330.0,50.93,383
2018-07-10,51.21,51.21,50.87,51.04,1148185.0,51.026,2499
2018-07-11,50.7,51.23,50.65,50.97,224129.0,51.055,429
2018-07-12,51.3,51.77,51.14,51.77,356033.0,51.576,454
2018-07-13,51.78,51.8,51.44,51.69,75755.0,51.663,232
2018-07-16,51.78,51.78,51.45,51.54,195195.0,51.598,581
2018-07-17,50.81,51.68,50.72,51.55,165346.0,51.44,459
2018-07-18,51.59,51.6,51.23,51.4,145087.0,51.482,307
2018-07-19,51.43,51.47,51.0,51.04,255126.0,51.165,425
2018-07-20,51.05,51.19,50.84,50.87,154903.0,51.008,413
2018-07-23,50.93,51.1,50.65,51.08,88164.0,50.953,308
2018-07-24,52.11,52.11,51.16,51.44,202497.0,51.55,505
2018-07-25,51.53,51.88,51.38,51.81,598699.0,51.615,911
2018-07-26,49.75,50.02,49.57,49.86,816937.0,49.809,1298
2018-07-27,49.77,49.83,48.63,48.91,1103378.0,49.336,708
2018-07-30,49.02,49.02,47.86,48.14,240439.0,48.189,773
2018-07-31,48.37,48.77,48.14,48.46,1206676.0,48.485,712
2018-08-01,48.56,48.78,48.11,48.26,677998.0,48.357,468
2018-08-02,48.09,48.66,47.9,48.58,186313.0,48.367,532
2018-08-03,48.86,48.93,48.65,48.91,113132.0,48.838,202
2018-08-06,48.91,49.41,48.82,49.4,105494.0,49.249,433
2018-08-07,49.68,49.8,49.42,49.46,121714.0,49.575,472
2018-08-08,49.55,49.6,49.35,49.42,109546.0,49.516,280
2018-08-09,49.46,49.89,49.46,49.69,301844.0,49.782,533
2018-08-10,49.53,49.53,49.15,49.27,172982.0,49.306,285
2018-08-13,49.33,49.61,49.17,49.2,253860.0,49.303,617
2018-08-14,49.44,49.63,49.11,49.55,185245.0,49.523,305
2018-08-15,49.24,49.3,48.49,48.86,545992.0,48.76,1154
2018-08-16,49.19,49.24,48.76,48.84,170531.0,49.001,399
2018-08-17,48.66,48.81,48.4,48.61,221392.0,48.567,544
2018-08-20,48.85,48.85,48.37,48.69,141761.0,48.646,319
2018-08-21,48.95,49.23,48.81,48.99,380459.0,49.135,307
2018-08-22,48.85,49.03,48.75,48.93,494156.0,48.935,2097
2018-08-23,48.88,49.17,48.71,48.73,278038.0,48.887,593
2018-08-24,48.96,49.44,48.88,49.44,307078.0,49.287,620
2018-08-27,49.75,50.02,49.66,49.92,290129.0,49.87,656
2018-08-28,50.06,50.06,49.63,49.7,141892.0,49.801,375
2018-08-29,49.83,50.02,49.67,49.98,265422.0,49.924,547
2018-08-30,49.81,50.04,49.48,49.67,286437.0,49.739,866
2018-08-31,49.62,49.62,49.04,49.18,224295.0,49.197,441
2018-09-04,49.05,49.05,48.39,48.57,325078.0,48.618,984
2018-09-05,48.52,48.52,47.76,47.94,764743.0,48.032,1190
2018-09-06,47.91,47.98,47.17,47.58,591739.0,47.503,1680
2018-09-07,47.28,47.95,47.23,47.68,744506.0,47.695,2073
2018-09-10,47.98,47.98,47.55,47.78,244137.0,47.71,674
2018-09-11,47.72,48.36,47.66,48.26,607029.0,48.205,1507
2018-09-12,48.13,48.25,47.85,48.12,689257.0,48.013,2225
2018-09-13,48.31,48.52,48.21,48.46,739017.0,48.376,1907
2018-09-14,48.64,48.64,48.25,48.37,1164448.0,48.387,2101
2018-09-17,48.42,48.42,47.86,47.9,784339.0,48.081,1433
2018-09-18,47.95,48.41,47.9,48.24,421551.0,48.234,1027
2018-09-19,48.29,48.42,47.99,48.37,2357850.0,48.285,3662
2018-09-20,48.77,48.95,48.52,48.9,4381941.0,48.82,2993
2018-09-21,49.02,49.04,48.42,48.55,6975180.0,48.704,17151
2018-09-24,48.21,48.62,48.01,48.55,6380369.0,48.424,13688
2018-09-25,48.54,48.65,48.25,48.57,3346511.0,48.5,11675
2018-09-26,48.65,49.25,48.6,48.76,5636980.0,49.061,10900
2018-09-27,49.06,49.53,48.89,49.18,3607801.0,49.282,7790
2018-09-28,49.07,49.12,48.79,49.0,2209892.0,48.957,5470
2018-10-01,49.17,49.22,48.56,48.8,6505759.0,48.884,15859
2018-10-02,48.77,48.97,48.58,48.76,4365231.0,48.805,11267
2018-10-03,49.03,49.19,48.85,48.98,3689680.0,49.04,10235
2018-10-04,48.93,48.93,47.87,48.28,4056851.0,48.233,8764
2018-10-05,48.35,48.53,47.48,47.82,2389377.0,47.865,6718
2018-10-08,47.6,47.83,47.01,47.66,2121091.0,47.466,6015
2018-10-09,47.66,48.12,47.57,47.63,1900457.0,47.848,5090
2018-10-10,47.53,47.54,45.71,45.75,3804284.0,46.631,10957
2018-10-11,45.66,46.27,44.93,45.36,7932159.0,45.599,20566
2018-10-12,46.44,46.5,45.59,46.37,5579938.0,46.139,10506
2018-10-15,46.21,46.68,46.0,46.19,1424851.0,46.414,5150
2018-10-16,46.69,47.51,46.61,47.41,3356272.0,47.166,7607
2018-10-17,47.74,47.74,47.11,47.6,2711431.0,47.545,10629
2018-10-18,47.49,47.49,46.37,46.73,3830244.0,46.783,13769
2018-10-19,47.0,47.41,46.54,46.72,3023940.0,46.894,9017
2018-10-22,46.99,47.12,46.51,46.69,2645331.0,46.806,9607
2018-10-23,46.03,46.79,45.63,46.59,2715094.0,46.225,8784
2018-10-24,46.58,46.58,44.32,44.37,3310510.0,45.369,10260
2018-10-25,45.17,46.15,45.17,45.84,3087203.0,45.711,12219
2018-10-26,44.43,45.6,44.04,44.6,4489827.0,44.657,11304
2018-10-29,45.3,45.6,43.1,43.91,3001249.0,44.323,8643
2018-10-30,43.84,45.17,43.66,45.11,5659760.0,44.592,10807
2018-10-31,45.99,46.55,45.79,46.04,3262370.0,46.22,7423
2018-11-01,46.19,46.41,45.74,46.31,2450080.0,46.226,7059
2018-11-02,46.45,46.75,45.54,45.84,2537447.0,45.959,6548
2018-11-05,45.93,45.93,45.32,45.65,1140322.0,45.569,4324
2018-11-06,45.7,46.18,45.57,45.92,1797054.0,45.807,4850
