date,open,high,low,close,volume,average,barCount
2000-03-27,13.97,14.22,13.8,14.06,438200.0,14.0625,1
2000-03-28,14.1,14.17,13.9,14.0,138600.0,14.0,1
2000-03-29,13.94,14.78,13.94,14.74,465600.0,14.7345,1
2000-03-30,14.86,15.11,14.61,14.74,355800.0,14.7345,1
2000-03-31,14.69,14.99,14.65,14.65,1255800.0,14.6565,1
2000-04-03,14.75,14.9,14.7,14.9,281400.0,14.9065,1
2000-04-04,15.0,15.08,14.47,14.72,829200.0,14.719,1
2000-04-05,14.74,14.78,14.28,14.28,101600.0,14.2815,1
2000-04-06,14.35,14.69,14.35,14.65,76000.0,14.6565,1
2000-04-07,14.65,14.69,14.4,14.43,510800.0,14.4295,1
2000-04-10,14.35,14.4,14.17,14.22,54000.0,14.219,1
2000-04-11,14.22,14.58,14.22,14.47,975800.0,14.4685,1
2000-04-12,14.53,14.78,14.47,14.6,484400.0,14.594,1
2000-04-13,14.63,14.69,14.51,14.56,881600.0,14.5625,1
2000-04-14,14.56,14.69,14.11,14.25,3698200.0,14.25,1
2000-04-17,14.13,14.21,13.76,13.9,432200.0,13.906,1
2000-04-18,13.81,14.03,13.81,13.97,159200.0,13.9765,1
2000-04-19,14.0,14.31,14.0,14.28,755600.0,14.2815,1
2000-04-20,14.28,14.38,14.15,14.31,471200.0,14.3045,1
2000-04-24,14.4,14.5,14.22,14.46,44000.0,14.461,1
2000-04-25,14.46,14.65,14.46,14.49,861600.0,14.4845,1
2000-04-26,14.53,14.71,14.46,14.67,859000.0,14.672,1
2000-04-27,14.56,14.89,14.51,14.88,55000.0,14.875,1
2000-04-28,14.85,14.85,14.44,14.44,106000.0,14.44,1
2000-05-01,14.6,14.78,14.52,14.67,69400.0,14.672,1
2000-05-02,14.67,15.0,14.67,14.88,296000.0,14.883,1
2000-05-03,14.88,14.88,14.5,14.5,158200.0,14.5,1
2000-05-04,14.6,14.9,14.6,14.88,88000.0,14.875,1
2000-05-05,14.88,15.06,14.81,15.03,71200.0,15.0315,1
2000-05-08,14.94,15.3,14.94,15.22,166000.0,15.219,1
2000-05-09,15.38,15.39,15.1,15.22,244800.0,15.2265,1
2000-05-10,15.22,15.36,15.11,15.28,707400.0,15.2735,1
2000-05-11,15.35,15.78,15.35,15.75,261600.0,15.75,1
2000-05-12,15.69,15.81,15.67,15.81,90200.0,15.8045,1
2000-05-15,15.85,16.16,15.75,16.14,2556600.0,16.133,1
2000-05-16,16.0,16.07,15.69,15.82,1860800.0,15.8205,1
2000-05-17,15.9,15.9,15.68,15.9,91200.0,15.8985,1
2000-05-18,15.88,15.99,15.69,15.88,1779400.0,15.875,1
2000-05-19,15.77,15.99,15.7,15.9,142800.0,15.9065,1
2000-05-22,15.78,15.96,15.78,15.78,216800.0,15.775,1
2000-05-23,15.75,15.88,15.61,15.71,280600.0,15.711,1
2000-05-24,15.69,15.81,15.53,15.72,129600.0,15.7265,1
2000-05-25,15.75,15.75,15.3,15.44,663600.0,15.4375,1
2000-05-26,15.47,15.68,15.45,15.45,69200.0,15.4455,1
2000-05-30,15.55,15.75,15.5,15.67,124800.0,15.664,1
2000-05-31,15.65,16.16,15.65,16.14,229400.0,16.133,1
2000-06-01,16.08,16.08,15.69,15.99,82600.0,15.9845,1
2000-06-02,15.94,15.96,15.35,15.44,99200.0,15.4375,1
2000-06-05,15.35,15.5,15.19,15.22,2246600.0,15.219,1
2000-06-06,15.3,15.81,15.3,15.81,131400.0,15.8125,1
2000-06-07,15.75,15.81,15.52,15.61,75800.0,15.6095,1
2000-06-08,15.58,15.75,15.53,15.69,149000.0,15.6875,1
2000-06-09,15.68,15.71,15.5,15.59,259600.0,15.586,1
2000-06-12,15.56,16.03,15.56,15.94,515000.0,15.9375,1
2000-06-13,15.97,16.07,15.89,15.94,714200.0,15.9375,1
2000-06-14,16.03,16.25,15.72,15.92,432400.0,15.914,1
2000-06-15,15.99,16.0,15.59,15.69,502800.0,15.6875,1
2000-06-16,15.69,16.1,15.69,15.88,957000.0,15.875,1
2000-06-19,15.9,16.03,15.63,15.74,469400.0,15.742,1
2000-06-20,15.69,15.74,15.35,15.65,180800.0,15.6565,1
2000-06-21,15.56,15.99,15.53,15.94,321400.0,15.9375,1
2000-06-22,16.01,16.07,15.52,15.52,188600.0,15.5155,1
2000-06-23,15.63,15.88,15.63,15.71,158000.0,15.711,1
2000-06-26,15.85,15.85,15.5,15.59,89000.0,15.586,1
2000-06-27,15.61,15.61,15.31,15.47,29200.0,15.4765,1
2000-06-28,15.38,15.44,15.22,15.35,180200.0,15.344,1
2000-06-29,15.31,15.5,15.28,15.38,1088800.0,15.375,1
2000-06-30,15.3,15.4,15.05,15.17,255200.0,15.172,1
2000-07-03,15.1,15.32,15.1,15.27,108000.0,15.2655,1
2000-07-05,15.0,15.06,14.63,14.63,2064800.0,14.633,1
2000-07-06,14.85,15.06,14.78,14.78,435600.0,14.7815,1
2000-07-07,14.9,14.96,14.81,14.85,1044000.0,14.8515,1
2000-07-10,14.85,15.06,14.85,14.92,346600.0,14.922,1
2000-07-11,15.0,15.49,15.0,15.46,142200.0,15.453,1
2000-07-12,15.5,15.53,15.25,15.25,308600.0,15.25,1
2000-07-13,15.11,15.17,14.94,15.02,137800.0,15.0155,1
2000-07-14,15.1,15.1,14.85,15.0,423400.0,15.0,1
2000-07-17,15.03,15.1,14.81,14.81,456000.0,14.805,1
2000-07-18,14.81,15.1,14.81,14.94,202000.0,14.9375,1
2000-07-19,15.0,15.05,14.83,14.9,114400.0,14.8985,1
2000-07-20,14.88,14.97,14.75,14.75,371200.0,14.75,1
2000-07-21,14.78,14.8,14.46,14.47,75000.0,14.4685,1
2000-07-24,14.63,14.63,14.24,14.32,232600.0,14.3205,1
2000-07-25,14.36,14.5,14.14,14.19,975400.0,14.1875,1
2000-07-26,14.33,14.39,14.22,14.31,70000.0,14.3045,1
2000-07-27,14.26,14.83,14.26,14.8,312400.0,14.797,1
2000-07-28,14.81,14.9,14.69,14.69,59000.0,14.69,1
2000-07-31,14.81,14.88,14.58,14.6,534400.0,14.594,1
2000-08-01,14.72,14.92,14.72,14.87,147800.0,14.867,1
2000-08-02,15.0,15.21,14.99,15.15,211600.0,15.1485,1
2000-08-03,15.25,15.31,14.94,14.94,88200.0,14.94,1
2000-08-04,14.94,15.1,14.83,15.0,60000.0,15.0,1
2000-08-07,15.02,15.3,15.02,15.2,69200.0,15.1955,1
2000-08-08,15.19,15.28,15.15,15.22,59600.0,15.2265,1
2000-08-09,15.38,15.88,15.31,15.5,97800.0,15.5,1
2000-08-10,15.52,15.69,15.52,15.64,108000.0,15.6405,1
2000-08-11,15.75,15.75,15.51,15.63,316800.0,15.625,1
2000-08-14,15.65,15.92,15.63,15.85,346200.0,15.8435,1
2000-08-15,16.0,16.05,15.78,15.78,537800.0,15.781,1
2000-08-16,15.81,16.07,15.78,16.0,85000.0,16.0,1
2000-08-17,16.19,16.44,16.19,16.38,452400.0,16.375,1
2000-08-18,16.41,16.41,16.13,16.19,1437600.0,16.1875,1
2000-08-21,16.22,16.25,16.13,16.25,156400.0,16.25,1
2000-08-22,16.25,16.38,16.17,16.21,1300000.0,16.203,1
2000-08-23,16.38,16.69,16.38,16.63,406400.0,16.625,1
2000-08-24,16.69,16.69,16.22,16.27,478200.0,16.2655,1
2000-08-25,16.28,16.32,16.1,16.32,523600.0,16.3125,1
2000-08-28,16.21,16.53,16.16,16.38,221600.0,16.375,1
2000-08-29,16.38,16.46,16.3,16.39,213000.0,16.3905,1
2000-08-30,16.32,16.39,16.1,16.25,331600.0,16.25,1
2000-08-31,16.25,16.32,16.14,16.19,157000.0,16.1875,1
2000-09-01,16.14,16.47,16.14,16.35,205400.0,16.3515,1
2000-09-05,16.44,16.57,16.25,16.35,1445000.0,16.3515,1
2000-09-06,16.44,16.74,16.44,16.71,456000.0,16.711,1
2000-09-07,16.66,16.72,16.6,16.64,208800.0,16.633,1
2000-09-08,16.6,16.63,16.33,16.44,1784400.0,16.4375,1
2000-09-11,16.44,17.0,16.44,16.96,1640600.0,16.961,1
2000-09-12,17.03,17.07,16.72,16.94,1106200.0,16.9375,1
2000-09-13,16.97,16.97,16.64,16.66,219600.0,16.6565,1
2000-09-14,16.66,16.72,16.51,16.61,834600.0,16.6095,1
2000-09-15,16.75,17.16,16.75,16.97,1525600.0,16.969,1
2000-09-18,17.19,17.24,17.0,17.0,411000.0,17.0,1
2000-09-19,17.03,17.03,16.52,16.55,7629000.0,16.547,1
2000-09-20,16.72,16.78,16.22,16.22,2858400.0,16.22,1
2000-09-21,16.16,16.21,16.01,16.1,9151200.0,16.094,1
2000-09-22,16.01,16.69,15.81,15.99,2939000.0,15.992,1
2000-09-25,15.94,15.94,15.5,15.75,1014400.0,15.75,1
2000-09-26,15.85,16.16,15.85,16.13,930600.0,16.125,1
2000-09-27,16.16,16.47,16.03,16.43,166400.0,16.4295,1
2000-09-28,16.46,16.5,16.25,16.36,645200.0,16.367,1
2000-09-29,16.5,16.63,16.39,16.39,254400.0,16.385,1
2000-10-02,16.47,16.74,16.47,16.72,629000.0,16.719,1
2000-10-03,16.68,16.74,16.6,16.71,184400.0,16.711,1
2000-10-04,16.66,16.66,16.22,16.22,303600.0,16.22,1
2000-10-05,16.21,16.74,16.0,16.2,4559600.0,16.1955,1
2000-10-06,16.32,16.5,16.03,16.13,1080000.0,16.125,1
2000-10-09,16.19,16.46,16.19,16.38,2751600.0,16.375,1
