date,open,high,low,close,volume,average,barCount
2000-03-27,20.19,20.19,19.39,19.54,316748.7684729064,19.539156,1
2000-03-28,19.33,19.92,19.33,19.69,371674.8768472906,19.691,1
2000-03-29,19.89,19.89,19.35,19.54,237192.11822660096,19.539156,1
2000-03-30,19.72,19.8,19.41,19.58,511945.81280788174,19.576508,1
2000-03-31,19.41,19.85,19.29,19.71,1534482.7586206896,19.703992,1
2000-04-03,20.12,20.66,20.02,20.66,540147.7832512314,20.655656,1
2000-04-04,20.71,20.81,19.07,19.83,1568719.21182266,19.830664,1
2000-04-05,19.74,20.05,19.6,19.67,344950.7389162561,19.678008,1
2000-04-06,19.93,19.94,19.71,19.89,343226.6009852216,19.894,1
2000-04-07,20.02,20.02,19.44,19.49,783743.8423645319,19.488,1
2000-04-10,19.54,20.14,19.35,20.05,179187.19211822658,20.045844,1
2000-04-11,20.12,20.3,19.76,20.3,162931.0344827586,20.3,1
2000-04-12,20.3,20.95,20.3,20.39,1093596.0591133004,20.388508,1
2000-04-13,20.07,20.23,19.8,19.85,790763.5467980294,19.855836,1
2000-04-14,18.93,19.26,17.97,18.25,1045689.6551724137,18.244828,1
2000-04-17,18.68,18.7,18.07,18.4,498522.1674876847,18.396672,1
2000-04-18,18.32,19.29,18.32,19.13,909975.369458128,19.132344,1
2000-04-19,19.01,19.16,18.63,18.88,218719.2118226601,18.879,1
2000-04-20,18.9,19.24,18.78,19.24,175123.1527093596,19.234656,1
2000-04-24,19.13,19.69,19.03,19.69,196551.724137931,19.691,1
2000-04-25,19.69,20.37,19.69,20.3,252832.5123152709,20.3,1
2000-04-26,20.28,20.28,19.8,19.89,939162.5615763546,19.894,1
2000-04-27,19.29,19.67,19.15,19.49,170320.19704433496,19.488,1
2000-04-28,19.49,19.89,18.93,19.89,436330.0492610837,19.894,1
2000-05-01,18.98,19.72,18.95,19.45,117118.22660098522,19.449836,1
2000-05-02,19.24,19.44,19.2,19.26,179556.6502463054,19.259828,1
2000-05-03,19.31,19.47,18.75,18.92,425492.6108374384,18.917164,1
2000-05-04,18.78,18.83,18.5,18.63,180911.33004926107,18.625656,1
2000-05-05,18.42,18.81,18.4,18.75,74507.38916256157,18.752328,1
2000-05-08,18.55,19.13,18.55,19.12,49261.08374384236,19.120164,1
2000-05-09,19.24,19.46,18.85,19.07,701724.1379310344,19.069008,1
2000-05-10,19.02,19.03,18.55,18.56,348522.1674876847,18.561508,1
2000-05-11,18.81,19.22,18.81,19.12,293965.5172413793,19.120164,1
2000-05-12,19.08,19.56,19.03,19.33,611453.2019704432,19.335344,1
2000-05-15,19.44,20.23,19.44,20.2,493472.90640394087,20.1985,1
2000-05-16,20.21,20.39,19.92,20.08,217364.5320197044,20.084008,1
2000-05-17,19.71,20.02,19.69,19.74,118103.44827586206,19.742156,1
2000-05-18,19.87,20.37,19.87,20.0,284113.3004926108,19.9955,1
2000-05-19,20.02,20.02,19.49,19.64,182389.16256157635,19.640656,1
2000-05-22,19.73,19.89,19.39,19.89,179926.10837438423,19.894,1
2000-05-23,19.8,20.1,19.72,20.02,203817.73399014777,20.020672,1
2000-05-24,19.91,20.45,19.91,20.28,332758.62068965513,20.274828,1
2000-05-25,20.24,20.32,19.56,19.76,533004.9261083744,19.767328,1
2000-05-26,19.59,19.87,19.49,19.69,644950.7389162561,19.691,1
2000-05-30,20.06,20.15,19.85,20.1,315517.2413793103,20.097,1
2000-05-31,20.12,20.37,20.0,20.34,152093.59605911328,20.338164,1
2000-06-01,20.44,21.05,20.41,21.01,581280.7881773398,21.0105,1
2000-06-02,22.03,22.05,21.57,21.88,1362931.0344827585,21.872844,1
2000-06-05,21.83,21.83,21.16,21.38,214285.71428571426,21.378336,1
2000-06-06,21.22,21.63,20.71,20.91,292857.14285714284,20.909,1
2000-06-07,20.84,21.36,20.84,21.22,116009.85221674875,21.2135,1
2000-06-08,21.24,21.24,20.73,20.86,305665.02463054186,20.858656,1
2000-06-09,21.06,21.11,20.41,20.5,279556.6502463054,20.503,1
2000-06-12,20.55,20.73,20.53,20.68,104679.80295566501,20.680828,1
2000-06-13,20.5,20.91,20.41,20.66,689532.0197044334,20.654844,1
2000-06-14,20.86,21.24,20.75,21.01,289162.56157635467,21.0105,1
2000-06-15,20.71,20.81,20.17,20.52,1172783.251231527,20.515992,1
2000-06-16,20.15,20.23,19.33,19.49,1356527.093596059,19.488,1
2000-06-19,19.39,20.1,19.39,20.0,846182.2660098522,19.9955,1
2000-06-20,20.08,20.1,19.69,19.74,785467.9802955664,19.742156,1
2000-06-21,19.59,19.76,19.39,19.59,457266.0098522167,19.5895,1
2000-06-22,19.39,19.58,19.19,19.58,470689.65517241374,19.576508,1
2000-06-23,19.59,19.85,19.41,19.44,556527.093596059,19.436844,1
2000-06-26,19.64,19.87,19.54,19.74,216133.00492610835,19.742156,1
2000-06-27,19.94,20.05,19.76,19.93,270935.960591133,19.932164,1
2000-06-28,20.02,20.1,19.74,19.78,389039.408866995,19.779508,1
2000-06-29,19.55,19.85,19.49,19.76,92733.99014778325,19.767328,1
2000-06-30,19.56,19.69,19.01,19.29,776354.6798029556,19.285,1
2000-07-03,19.29,19.64,19.13,19.64,514778.32512315264,19.640656,1
2000-07-05,19.8,20.1,19.59,19.85,681896.5517241379,19.855836,1
2000-07-06,19.69,20.1,19.55,20.01,460837.4384236453,20.008492,1
2000-07-07,20.21,20.48,20.06,20.35,370197.04433497536,20.351156,1
2000-07-10,20.45,20.63,20.35,20.41,462931.03448275855,20.4015,1
2000-07-11,20.53,20.75,20.41,20.5,219211.8226600985,20.503,1
2000-07-12,20.93,21.04,20.71,20.8,230049.26108374383,20.794508,1
2000-07-13,20.89,20.89,20.5,20.59,553940.8866995074,20.591508,1
2000-07-14,20.68,21.06,20.68,20.93,149014.77832512313,20.934172,1
2000-07-17,20.91,21.01,20.53,20.54,169458.1280788177,20.541164,1
2000-07-18,20.41,20.58,20.28,20.58,84975.36945812807,20.579328,1
2000-07-19,20.43,20.63,20.37,20.5,85960.59113300491,20.503,1
2000-07-20,20.53,21.16,20.53,21.02,119827.58620689654,21.023492,1
2000-07-21,21.06,21.29,20.88,20.96,202339.9014778325,20.960156,1
2000-07-24,21.06,21.32,20.88,21.09,288669.95073891623,21.086828,1
2000-07-25,21.1,21.22,20.93,21.13,311822.66009852214,21.124992,1
2000-07-26,21.06,21.24,20.86,21.02,179064.039408867,21.023492,1
2000-07-27,20.98,21.39,20.98,21.09,160837.4384236453,21.086828,1
2000-07-28,21.06,21.22,20.63,20.63,245935.96059113299,20.63292,1
2000-07-31,20.93,21.19,20.68,20.98,190394.08866995072,20.985328,1
2000-08-01,21.1,21.25,21.01,21.13,87684.7290640394,21.124992,1
2000-08-02,21.24,21.39,21.04,21.1,73645.32019704433,21.099008,1
2000-08-03,21.19,21.72,21.14,21.66,163054.1871921182,21.657664,1
2000-08-04,21.92,22.49,21.86,22.49,367733.99014778325,22.494836,1
2000-08-07,22.38,22.56,22.05,22.56,691625.6157635468,22.558172,1
2000-08-08,22.56,22.56,22.28,22.56,153325.12315270933,22.558172,1
2000-08-09,22.35,22.66,21.97,22.4,437192.1182266009,22.406328,1
2000-08-10,22.56,22.61,22.15,22.28,189285.71428571426,22.279656,1
2000-08-11,22.38,22.64,22.18,22.62,168103.44827586206,22.621508,1
2000-08-14,22.55,22.92,22.33,22.91,145197.04433497536,22.913828,1
2000-08-15,22.78,22.78,22.4,22.49,66256.15763546797,22.494836,1
2000-08-16,22.66,22.71,22.05,22.23,160960.5911330049,22.2285,1
2000-08-17,22.15,22.53,22.15,22.52,355541.87192118226,22.520008,1
2000-08-18,22.48,22.48,22.26,22.35,184482.75862068965,22.355172,1
2000-08-21,22.27,22.61,22.24,22.53,94581.28078817733,22.533,1
2000-08-22,22.46,22.91,22.46,22.78,241256.15763546797,22.774164,1
2000-08-23,22.66,22.89,22.44,22.48,432266.0098522167,22.482656,1
2000-08-24,22.46,22.64,22.28,22.44,181896.5517241379,22.444492,1
2000-08-25,22.52,22.52,22.14,22.14,105172.41379310343,22.14324,1
2000-08-28,22.31,22.71,22.23,22.56,142487.68472906403,22.558172,1
2000-08-29,22.61,22.61,22.13,22.33,101970.44334975368,22.33,1
2000-08-30,22.33,22.78,22.33,22.53,173152.70935960588,22.533,1
2000-08-31,22.51,23.25,22.51,23.12,538054.1871921181,23.116828,1
2000-09-01,23.14,23.14,22.74,22.74,925123.1527093595,22.736,1
2000-09-05,22.87,23.09,22.72,23.01,566379.3103448275,23.015328,1
2000-09-06,23.12,23.39,23.04,23.19,270197.04433497536,23.193156,1
2000-09-07,23.04,23.17,22.89,23.0,177586.2068965517,23.002336,1
2000-09-08,22.94,23.55,22.94,23.52,4791379.310344827,23.522828,1
2000-09-11,23.73,24.0,23.65,23.99,1598891.6256157635,23.992164,1
2000-09-12,24.06,24.06,23.8,23.95,1632512.315270936,23.954,1
2000-09-13,23.8,24.04,23.6,23.8,420689.65517241374,23.802156,1
2000-09-14,23.82,23.91,23.68,23.71,273029.55665024626,23.712836,1
2000-09-15,23.73,23.73,23.17,23.26,213300.49261083742,23.256492,1
2000-09-18,22.99,23.03,22.39,22.48,529926.1083743842,22.481844,1
2000-09-19,22.52,22.98,22.52,22.96,242118.2266009852,22.964172,1
2000-09-20,22.87,22.87,22.2,22.64,221059.11330049258,22.6345,1
2000-09-21,22.53,22.53,22.03,22.38,179556.6502463054,22.381156,1
2000-09-22,22.31,22.89,22.28,22.81,112561.5763546798,22.812328,1
2000-09-25,22.94,23.33,22.89,23.18,115886.69950738914,23.180164,1
2000-09-26,23.04,23.32,22.89,23.03,71182.26600985222,23.027508,1
2000-09-27,23.04,23.07,22.75,23.04,411083.7438423645,23.0405,1
2000-09-28,22.91,23.73,22.91,23.62,440517.2413793103,23.624328,1
2000-09-29,23.52,23.88,23.5,23.55,118472.90640394087,23.548,1
2000-10-02,23.52,23.91,23.14,23.88,381650.24630541867,23.877672,1
2000-10-03,23.8,24.06,23.77,23.86,155295.56650246304,23.8525,1
2000-10-04,23.65,23.8,23.41,23.55,519211.8226600985,23.548,1
2000-10-05,23.6,23.94,23.6,23.78,306403.9408866995,23.776172,1
2000-10-06,23.6,23.7,22.53,22.78,2007881.7733990145,22.787156,1
2000-10-09,22.58,22.72,22.38,22.44,156280.78817733988,22.4315,1
2000-10-10,22.56,22.56,21.57,21.79,3847044.3349753693,21.784336,1
2000-10-11,21.49,21.83,21.11,21.83,4428571.428571428,21.8225,1
2000-10-12,21.65,21.65,20.46,20.55,1123152.7093596058,20.554156,1
2000-10-13,20.73,21.72,20.73,21.62,1250246.305418719,21.6195,1
2000-10-16,21.58,21.88,21.43,21.81,167610.83743842362,21.809508,1
2000-10-17,22.0,22.0,21.01,21.22,572906.4039408866,21.2135,1
2000-10-18,20.2,21.48,20.2,20.97,1687315.2709359603,20.972336,1
2000-10-19,21.54,22.13,21.54,21.96,488916.2561576354,21.962164,1
2000-10-20,22.03,22.23,21.92,22.05,466502.46305418713,22.050672,1
2000-10-23,21.97,22.03,21.59,21.68,321428.5714285714,21.682836,1
2000-10-24,21.88,22.51,21.88,22.23,309236.45320197043,22.2285,1
2000-10-25,22.44,22.72,22.13,22.35,533251.2315270936,22.355172,1
2000-10-26,22.15,22.37,21.27,21.63,869581.2807881773,21.632492,1
2000-10-27,22.03,22.44,21.83,22.35,1361822.660098522,22.342992,1
2000-10-30,22.55,23.37,22.55,23.16,1245566.5024630541,23.154992,1
2000-10-31,23.37,23.5,22.96,23.35,227339.9014778325,23.345,1
2000-11-01,23.14,23.35,23.04,23.25,614039.408866995,23.2435,1
2000-11-02,23.47,23.62,23.26,23.36,71059.11330049261,23.357992,1
2000-11-03,23.39,23.5,23.19,23.3,139039.40886699507,23.294656,1
2000-11-06,23.52,23.65,23.3,23.61,137438.42364532017,23.611336,1
2000-11-07,23.6,23.73,23.41,23.53,166871.921182266,23.535008,1
2000-11-08,23.5,23.5,22.96,23.12,626354.6798029556,23.116828,1
2000-11-09,23.04,23.5,22.84,23.28,601724.1379310344,23.281664,1
2000-11-10,23.14,23.39,22.91,23.03,519827.5862068965,23.027508,1
2000-11-13,22.87,22.94,22.14,22.48,4905049.261083744,22.482656,1
2000-11-14,22.96,23.14,22.53,22.61,4579679.802955665,22.609328,1
2000-11-15,22.44,22.69,22.18,22.44,1102832.5123152707,22.4315,1
