date,open,high,low,close,volume,average,barCount
2000-03-27,29.08,29.08,28.67,28.69,10300.0,28.687,1
2000-03-28,28.78,29.0,28.61,28.61,8900.0,28.61,1
2000-03-29,28.78,29.06,28.56,28.97,5200.0,28.969,1
2000-03-30,29.0,29.45,28.97,29.16,9300.0,29.156,1
2000-03-31,29.3,29.52,29.11,29.2,23400.0,29.203,1
2000-04-03,29.31,29.41,29.08,29.33,39400.0,29.328,1
2000-04-04,29.38,29.88,27.88,29.0,220700.0,29.0,1
2000-04-05,29.16,29.27,28.75,28.89,7600.0,28.891,1
2000-04-06,29.2,29.44,29.09,29.14,23000.0,29.141,1
2000-04-07,29.39,29.69,29.3,29.58,136600.0,29.578,1
2000-04-10,29.63,29.75,29.42,29.63,21100.0,29.625,1
2000-04-11,29.55,30.08,29.5,29.98,313700.0,29.984,1
2000-04-12,29.69,30.13,29.33,29.45,157700.0,29.453,1
2000-04-13,29.2,29.63,29.2,29.53,590800.0,29.531,1
2000-04-14,28.22,28.47,27.59,27.59,19600.0,27.594,1
2000-04-17,27.92,28.27,27.69,28.27,20200.0,28.266,1
2000-04-18,28.25,28.52,28.19,28.38,10700.0,28.375,1
2000-04-19,28.45,28.69,28.25,28.48,13700.0,28.484,1
2000-04-20,28.66,28.72,28.5,28.72,2900.0,28.719,1
2000-04-24,28.5,29.11,28.5,28.75,8900.0,28.75,1
2000-04-25,29.34,30.33,29.31,30.25,13100.0,30.25,1
2000-04-26,30.39,30.44,29.61,29.8,515300.0,29.797,1
2000-04-27,29.36,29.83,29.36,29.83,6500.0,29.828,1
2000-04-28,29.84,29.86,29.5,29.63,9600.0,29.625,1
2000-05-01,29.73,30.31,29.61,30.31,2000.0,30.313,1
2000-05-02,29.97,30.22,29.72,30.0,187400.0,30.0,1
2000-05-03,29.59,29.69,28.84,29.0,52900.0,29.0,1
2000-05-04,28.86,29.28,28.83,29.05,29200.0,29.047,1
2000-05-05,29.28,29.78,29.17,29.56,7200.0,29.563,1
2000-05-08,29.7,29.7,29.5,29.55,4000.0,29.547,1
2000-05-09,29.55,29.55,29.17,29.31,10400.0,29.313,1
2000-05-10,29.06,29.11,28.75,29.02,2100.0,29.016,1
2000-05-11,29.45,29.73,29.45,29.73,2200.0,29.735,1
2000-05-12,29.88,30.09,29.88,30.09,4100.0,30.094,1
2000-05-15,30.0,30.59,30.0,30.59,9700.0,30.594,1
2000-05-16,30.63,31.06,30.63,30.88,10500.0,30.875,1
2000-05-17,30.72,30.72,30.44,30.67,4900.0,30.672,1
2000-05-18,30.78,30.78,30.53,30.53,500.0,30.532,1
2000-05-19,30.0,30.0,29.69,29.69,3900.0,29.69,1
2000-05-22,29.0,29.2,29.0,29.17,5500.0,29.172,1
