date,open,high,low,close,volume,average,barCount
2000-03-27,32.13,32.47,32.03,32.25,1566200.0,32.25,1
2000-03-28,32.25,32.25,31.47,31.47,1251200.0,31.47,1
2000-03-29,31.5,31.53,30.21,30.55,6765400.0,30.547,1
2000-03-30,30.35,30.92,28.88,29.72,9271600.0,29.719,1
2000-03-31,30.13,30.6,29.32,30.28,639200.0,30.2815,1
2000-04-03,29.91,29.91,28.63,29.0,5290000.0,29.0,1
2000-04-04,28.86,29.38,26.14,28.72,4423000.0,28.7185,1
2000-04-05,28.32,29.6,28.07,28.91,1175800.0,28.9065,1
2000-04-06,29.38,29.72,28.88,29.28,346000.0,29.2815,1
2000-04-07,29.66,30.32,29.44,30.28,466000.0,30.2815,1
2000-04-10,30.28,30.38,29.19,29.19,1330200.0,29.19,1
2000-04-11,28.74,29.07,28.0,28.47,2958400.0,28.469,1
2000-04-12,28.41,28.41,26.57,26.63,2676200.0,26.625,1
2000-04-13,27.0,27.63,26.11,26.11,4364200.0,26.117,1
2000-04-14,25.38,26.02,23.63,24.75,3816000.0,24.75,1
2000-04-17,24.38,26.1,24.32,26.1,1810800.0,26.094,1
2000-04-18,26.32,27.58,26.07,27.58,1146400.0,27.578,1
2000-04-19,27.13,27.57,26.63,26.67,710600.0,26.672,1
2000-04-20,26.75,26.94,26.13,26.44,482800.0,26.4375,1
2000-04-24,25.32,25.69,24.69,25.63,1222200.0,25.625,1
2000-04-25,26.38,27.11,26.14,27.11,715800.0,27.1095,1
2000-04-26,27.19,27.6,26.6,26.6,2924000.0,26.595,1
2000-04-27,26.19,27.5,26.19,27.42,963400.0,27.422,1
2000-04-28,27.72,27.85,27.25,27.5,1293000.0,27.5,1
2000-05-01,27.91,28.13,27.63,27.89,391600.0,27.8905,1
2000-05-02,27.66,27.72,26.75,27.38,1365200.0,27.375,1
2000-05-03,26.41,26.66,25.5,26.19,1533200.0,26.1875,1
2000-05-04,26.14,26.5,25.85,26.0,357200.0,26.0,1
2000-05-05,26.28,26.82,26.19,26.71,600000.0,26.711,1
2000-05-08,26.1,26.32,25.71,25.77,310800.0,25.7655,1
2000-05-09,25.94,25.97,25.0,25.29,2472400.0,25.289,1
2000-05-10,24.82,24.91,23.88,24.07,2039600.0,24.0625,1
2000-05-11,24.22,24.82,23.91,24.74,862400.0,24.742,1
2000-05-12,25.25,25.71,25.07,25.07,443000.0,25.065,1
2000-05-15,25.25,25.6,24.57,25.53,315200.0,25.5315,1
2000-05-16,26.13,26.38,25.64,26.3,816000.0,26.297,1
2000-05-17,26.03,26.17,25.57,25.92,737200.0,25.922,1
2000-05-18,25.94,25.94,25.19,25.27,413600.0,25.2655,1
2000-05-19,25.07,25.1,24.14,24.28,1555000.0,24.2815,1
2000-05-22,24.07,24.22,23.0,24.17,905200.0,24.172,1
2000-05-23,24.25,24.25,22.97,23.0,668600.0,23.0,1
2000-05-24,23.25,24.0,22.35,23.91,1427200.0,23.9065,1
2000-05-25,24.35,24.58,23.35,23.52,1212200.0,23.5155,1
2000-05-26,23.78,23.86,23.13,23.6,287000.0,23.5935,1
2000-05-30,24.19,25.13,24.07,25.13,1642200.0,25.125,1
2000-05-31,25.0,25.35,24.61,24.64,505600.0,24.6405,1
2000-06-01,25.13,25.75,24.97,25.75,1080400.0,25.75,1
2000-06-02,26.88,27.11,26.57,26.92,1716200.0,26.922,1
2000-06-05,26.75,27.38,26.75,27.0,783800.0,27.0,1
2000-06-06,27.0,27.38,26.63,26.63,894400.0,26.625,1
2000-06-07,26.78,27.17,26.39,27.13,476600.0,27.125,1
2000-06-08,27.35,27.49,26.78,27.0,554200.0,27.0,1
2000-06-09,27.35,27.35,26.91,27.07,261800.0,27.0625,1
2000-06-12,27.02,27.08,26.41,26.41,738600.0,26.406,1
2000-06-13,26.6,27.07,26.19,27.07,724400.0,27.0625,1
2000-06-14,27.13,27.28,26.55,26.57,445200.0,26.5625,1
2000-06-15,26.75,27.32,26.63,27.1,254600.0,27.094,1
2000-06-16,27.19,27.39,26.92,27.19,941000.0,27.1875,1
2000-06-19,27.22,28.16,27.13,28.05,1025000.0,28.047,1
2000-06-20,28.17,28.49,27.92,28.13,404200.0,28.125,1
2000-06-21,27.88,28.46,27.85,28.38,682000.0,28.375,1
