date,open,high,low,close,volume,average,barCount
2000-03-27,20.78,20.78,20.3,20.31,52200.0,20.313,1
2000-03-28,20.3,20.66,20.25,20.55,71600.0,20.547,1
2000-03-29,20.69,21.13,20.56,21.05,36200.0,21.047,1
2000-03-30,20.97,21.5,20.97,21.33,62200.0,21.328,1
2000-03-31,21.0,21.5,20.94,21.22,439800.0,21.219,1
2000-04-03,21.63,22.19,21.36,22.19,76600.0,22.188,1
2000-04-04,22.06,23.0,21.92,22.81,823600.0,22.813,1
2000-04-05,22.75,22.75,22.34,22.5,38600.0,22.5,1
2000-04-06,22.25,22.44,21.83,22.09,55100.0,22.094,1
2000-04-07,22.28,22.31,21.75,21.81,169700.0,21.812,1
2000-04-10,22.03,22.45,21.88,22.36,55200.0,22.359,1
2000-04-11,22.56,22.88,22.34,22.75,60900.0,22.75,1
2000-04-12,22.86,23.47,22.67,23.02,76500.0,23.016,1
2000-04-13,22.5,23.0,22.45,22.86,506700.0,22.859,1
2000-04-14,22.19,22.56,21.55,21.73,62900.0,21.734,1
2000-04-17,22.33,22.36,21.72,22.36,139500.0,22.359,1
2000-04-18,22.0,22.5,22.0,22.5,129000.0,22.5,1
2000-04-19,22.61,23.0,22.25,22.77,39500.0,22.766,1
2000-04-20,22.7,22.92,22.59,22.75,14300.0,22.75,1
2000-04-24,22.75,23.47,22.75,23.38,75300.0,23.375,1
2000-04-25,23.38,23.44,23.0,23.27,51400.0,23.266,1
2000-04-26,23.31,23.31,22.8,23.0,39100.0,23.0,1
2000-04-27,22.7,23.0,22.67,23.0,27900.0,23.0,1
2000-04-28,22.94,22.94,22.28,22.34,56400.0,22.344,1
2000-05-01,22.5,22.81,22.16,22.63,21200.0,22.625,1
2000-05-02,22.59,22.78,22.39,22.69,19000.0,22.688,1
2000-05-03,22.94,22.97,22.5,22.69,309800.0,22.688,1
2000-05-04,22.75,22.94,22.52,22.69,30600.0,22.688,1
2000-05-05,22.63,23.22,22.63,23.22,11600.0,23.219,1
