date,open,high,low,close,volume,average,barCount
2000-03-27,13.05,13.17,13.05,13.15,66000.0,13.1485,1
2000-03-28,13.17,13.18,13.04,13.09,35200.0,13.086,1
2000-03-29,13.25,13.4,13.19,13.32,25800.0,13.3205,1
2000-03-30,13.31,13.43,13.28,13.29,67200.0,13.289,1
2000-03-31,13.39,13.4,13.17,13.37,118800.0,13.367,1
2000-04-03,13.32,13.49,13.21,13.46,161800.0,13.453,1
2000-04-04,13.78,14.03,13.52,13.64,129000.0,13.6405,1
2000-04-05,13.97,14.07,13.82,13.82,21400.0,13.8205,1
2000-04-06,13.95,14.0,13.83,13.9,258400.0,13.9065,1
2000-04-07,13.96,13.96,13.76,13.87,339400.0,13.867,1
2000-04-10,13.78,14.0,13.75,13.84,53200.0,13.836,1
2000-04-11,13.96,14.26,13.96,14.2,56600.0,14.1955,1
2000-04-12,14.33,14.5,14.27,14.32,152000.0,14.3205,1
2000-04-13,14.33,14.36,14.22,14.34,50000.0,14.336,1
2000-04-14,14.35,14.37,13.68,13.81,276600.0,13.8125,1
2000-04-17,13.84,13.84,13.0,13.6,235600.0,13.6015,1
2000-04-18,13.63,13.8,13.63,13.64,95200.0,13.6405,1
2000-04-19,13.7,13.77,13.64,13.77,14400.0,13.7655,1
2000-04-20,13.87,13.88,13.81,13.81,16000.0,13.815,1
2000-04-24,13.89,14.22,13.89,14.19,33400.0,14.1875,1
2000-04-25,14.3,14.65,14.2,14.61,36600.0,14.6095,1
2000-04-26,14.62,14.69,14.53,14.58,46800.0,14.578,1
2000-04-27,14.44,14.55,14.25,14.25,22200.0,14.25,1
2000-04-28,14.25,14.33,14.15,14.24,19400.0,14.242,1
2000-05-01,14.12,14.29,14.12,14.24,55000.0,14.242,1
2000-05-02,14.15,14.22,13.69,13.72,48400.0,13.7265,1
2000-05-03,13.75,14.25,13.68,13.78,367200.0,13.7735,1
2000-05-04,13.6,13.81,13.54,13.75,56000.0,13.75,1
2000-05-05,13.67,13.78,13.65,13.78,29800.0,13.781,1
2000-05-08,13.63,14.03,13.63,13.88,64600.0,13.875,1
2000-05-09,13.8,13.89,13.75,13.83,20600.0,13.828,1
2000-05-10,13.89,14.18,13.86,14.1,76400.0,14.094,1
2000-05-11,14.13,14.33,14.13,14.31,95800.0,14.3045,1
2000-05-12,14.28,14.28,14.03,14.08,24000.0,14.078,1
2000-05-15,14.02,14.43,14.02,14.35,1838600.0,14.3515,1
2000-05-16,14.4,14.4,14.17,14.29,1812800.0,14.289,1
2000-05-17,14.17,14.17,14.01,14.07,13200.0,14.0705,1
2000-05-18,14.19,14.33,14.12,14.19,24000.0,14.1875,1
2000-05-19,13.9,14.0,13.76,13.92,14800.0,13.922,1
2000-05-22,14.02,14.04,13.87,14.02,29600.0,14.0155,1
2000-05-23,13.99,13.99,13.76,13.76,30200.0,13.76,1
2000-05-24,13.92,14.09,13.9,13.99,29400.0,13.992,1
2000-05-25,14.03,14.03,13.76,13.76,50000.0,13.76,1
2000-05-26,13.99,14.11,13.86,14.03,229200.0,14.0315,1
2000-05-30,14.14,14.14,13.97,14.13,56800.0,14.133,1
2000-05-31,14.06,14.24,14.06,14.21,18600.0,14.211,1
2000-06-01,14.17,14.31,14.13,14.31,13600.0,14.3125,1
2000-06-02,14.26,14.35,14.2,14.27,101600.0,14.2655,1
2000-06-05,14.08,14.08,13.94,13.94,33600.0,13.94,1
2000-06-06,14.03,14.31,14.03,14.27,92400.0,14.2655,1
2000-06-07,14.15,14.37,14.15,14.32,64800.0,14.3205,1
2000-06-08,14.31,14.43,14.25,14.4,16200.0,14.406,1
2000-06-09,14.42,14.61,14.42,14.59,268600.0,14.586,1
2000-06-12,14.64,14.64,14.49,14.53,89600.0,14.5235,1
2000-06-13,14.61,14.88,14.61,14.84,62400.0,14.836,1
2000-06-14,14.92,14.92,14.68,14.78,75600.0,14.7735,1
2000-06-15,14.78,14.96,14.7,14.7,454200.0,14.6955,1
2000-06-16,14.58,14.75,14.42,14.42,472000.0,14.422,1
2000-06-19,14.63,14.76,14.59,14.65,183600.0,14.6565,1
2000-06-20,14.54,14.57,14.4,14.5,480400.0,14.5,1
2000-06-21,14.4,14.67,14.4,14.55,351600.0,14.547,1
2000-06-22,14.47,14.53,14.46,14.46,30800.0,14.455,1
2000-06-23,14.49,14.61,14.49,14.5,78400.0,14.5,1
2000-06-26,14.61,14.63,14.46,14.46,28600.0,14.455,1
2000-06-27,14.4,14.49,14.06,14.06,6972600.0,14.065,1
2000-06-28,14.06,14.18,13.81,14.18,3541000.0,14.1795,1
2000-06-29,13.93,14.02,13.81,13.96,23000.0,13.953,1
2000-06-30,13.92,14.11,13.58,13.63,8087800.0,13.625,1
2000-07-03,13.96,14.06,13.9,14.03,510200.0,14.0315,1
2000-07-05,13.62,14.4,13.62,14.15,4350000.0,14.1565,1
2000-07-06,14.17,14.31,14.15,14.17,732800.0,14.172,1
2000-07-07,14.13,14.37,14.13,14.32,76000.0,14.3205,1
2000-07-10,14.44,14.51,14.3,14.32,136200.0,14.3205,1
2000-07-11,14.31,14.31,14.19,14.19,13600.0,14.19,1
2000-07-12,14.27,14.31,14.22,14.25,12200.0,14.25,1
2000-07-13,14.28,14.31,14.17,14.31,10400.0,14.3125,1
2000-07-14,14.28,14.28,14.01,14.12,124000.0,14.117,1
2000-07-17,14.04,14.13,13.95,14.0,298400.0,14.0,1
2000-07-18,14.03,14.13,13.92,13.95,344600.0,13.9455,1
2000-07-19,14.15,14.18,13.97,14.09,342000.0,14.086,1
2000-07-20,14.04,14.06,13.75,13.86,185200.0,13.8595,1
2000-07-21,13.97,14.13,13.87,14.0,23600.0,14.0,1
2000-07-24,13.94,14.06,13.88,13.96,174800.0,13.953,1
2000-07-25,14.15,14.17,14.04,14.07,266200.0,14.0705,1
2000-07-26,14.14,14.14,13.94,13.94,9800.0,13.94,1
2000-07-27,14.03,14.03,13.87,13.88,8800.0,13.883,1
2000-07-28,13.97,13.97,13.8,13.8,23000.0,13.797,1
2000-07-31,13.94,13.99,13.84,13.84,108000.0,13.836,1
2000-08-01,13.93,14.15,13.9,14.14,19000.0,14.1405,1
2000-08-02,14.17,14.38,14.17,14.38,59400.0,14.375,1
2000-08-03,14.38,14.53,14.38,14.4,119000.0,14.3985,1
2000-08-04,14.24,14.4,14.12,14.32,35200.0,14.3205,1
2000-08-07,14.28,14.65,14.28,14.6,73800.0,14.6015,1
2000-08-08,14.33,14.33,14.19,14.22,107200.0,14.219,1
2000-08-09,14.19,14.22,13.94,13.99,150800.0,13.992,1
2000-08-10,14.0,14.03,13.89,13.99,9200.0,13.992,1
2000-08-11,14.06,14.3,14.06,14.15,23800.0,14.1485,1
2000-08-14,13.99,14.28,13.99,14.24,25000.0,14.2345,1
2000-08-15,14.24,14.38,14.17,14.33,14200.0,14.328,1
2000-08-16,14.25,14.27,14.1,14.13,33800.0,14.125,1
2000-08-17,14.1,14.14,13.94,13.94,25000.0,13.94,1
2000-08-18,13.9,14.13,13.9,14.02,20800.0,14.0155,1
2000-08-21,14.1,14.13,14.03,14.11,11200.0,14.1095,1
2000-08-22,14.13,14.13,13.94,13.94,24400.0,13.94,1
2000-08-23,13.94,14.06,13.89,14.05,197400.0,14.047,1
2000-08-24,14.1,14.1,13.94,14.02,22400.0,14.0155,1
2000-08-25,13.96,14.05,13.96,14.0,319800.0,14.0,1
2000-08-28,14.06,14.35,14.06,14.25,23800.0,14.25,1
2000-08-29,14.22,14.22,14.11,14.13,20800.0,14.125,1
2000-08-30,14.13,14.3,14.13,14.27,14600.0,14.2655,1
2000-08-31,14.38,14.52,14.38,14.38,12000.0,14.375,1
2000-09-01,14.49,14.55,14.39,14.55,484600.0,14.547,1
2000-09-05,14.63,14.69,14.56,14.6,312800.0,14.6015,1
2000-09-06,14.76,14.81,14.71,14.78,273800.0,14.781,1
2000-09-07,14.8,14.88,14.72,14.78,70400.0,14.7815,1
2000-09-08,14.88,15.28,14.86,15.25,1920800.0,15.25,1
2000-09-11,15.35,15.68,15.35,15.6,1127800.0,15.6015,1
2000-09-12,15.58,15.63,15.4,15.56,1380600.0,15.5625,1
2000-09-13,15.56,15.65,15.44,15.46,203800.0,15.453,1
2000-09-14,15.44,15.44,15.17,15.25,121000.0,15.25,1
