date,open,high,low,close,volume,average,barCount
2000-03-27,31.05,31.36,31.0,31.0,14400.0,31.0,1
2000-03-28,31.0,31.17,30.88,31.03,13700.0,31.031,1
2000-03-29,30.78,30.83,30.41,30.56,6800.0,30.563,1
2000-03-30,30.5,30.63,29.98,30.13,14000.0,30.125,1
2000-03-31,30.34,30.67,30.06,30.67,14400.0,30.672,1
2000-04-03,30.92,30.92,30.66,30.66,11200.0,30.66,1
2000-04-04,30.83,31.13,29.44,30.31,7600.0,30.313,1
2000-04-05,30.0,30.34,29.92,30.11,7100.0,30.109,1
2000-04-06,30.28,30.84,30.28,30.69,29000.0,30.688,1
2000-04-07,30.81,30.91,30.55,30.77,6000.0,30.766,1
2000-04-10,30.81,30.86,30.56,30.56,16000.0,30.563,1
2000-04-11,30.5,30.83,30.48,30.83,10100.0,30.828,1
2000-04-12,30.88,30.94,30.27,30.27,13100.0,30.27,1
2000-04-13,30.02,30.06,29.38,29.5,17500.0,29.5,1
2000-04-14,28.47,28.59,27.72,27.72,9800.0,27.72,1
2000-04-17,27.78,28.06,27.14,27.95,16900.0,27.953,1
2000-04-18,27.89,28.72,27.89,28.72,50900.0,28.719,1
2000-04-19,29.19,29.5,29.09,29.47,7200.0,29.469,1
2000-04-20,29.47,29.59,29.25,29.59,4000.0,29.594,1
2000-04-24,29.0,29.31,28.88,29.17,18000.0,29.172,1
2000-04-25,29.31,29.91,29.31,29.91,3600.0,29.906,1
2000-04-26,30.0,30.47,30.0,30.22,15500.0,30.219,1
2000-04-27,29.63,30.19,29.63,30.03,5200.0,30.031,1
2000-04-28,30.58,30.58,30.19,30.31,4900.0,30.312,1
2000-05-01,30.41,30.56,30.28,30.41,3500.0,30.406,1
2000-05-02,29.94,29.94,29.64,29.8,3800.0,29.797,1
2000-05-03,29.31,29.41,28.69,28.97,10600.0,28.969,1
2000-05-04,28.88,29.06,28.77,28.88,18600.0,28.875,1
2000-05-05,28.78,29.03,28.78,28.84,4700.0,28.844,1
2000-05-08,28.67,28.91,28.58,28.91,5800.0,28.906,1
2000-05-09,28.94,28.94,28.66,28.7,6200.0,28.703,1
2000-05-10,28.94,29.09,28.47,28.66,9100.0,28.656,1
2000-05-11,28.66,28.75,28.56,28.63,3800.0,28.625,1
2000-05-12,28.88,29.22,28.84,29.13,5100.0,29.125,1
2000-05-15,29.0,29.63,29.0,29.61,8000.0,29.609,1
2000-05-16,29.84,30.16,29.84,30.0,11200.0,30.0,1
2000-05-17,29.66,29.91,29.59,29.66,6600.0,29.656,1
2000-05-18,29.81,29.81,29.56,29.63,2200.0,29.625,1
2000-05-19,29.16,29.16,28.81,28.84,5500.0,28.844,1
2000-05-22,28.81,28.81,28.38,28.52,47300.0,28.516,1
2000-05-23,28.56,28.66,28.28,28.28,6600.0,28.281,1
2000-05-24,28.81,28.81,28.08,28.47,7800.0,28.469,1
2000-05-25,28.5,28.69,28.25,28.25,112100.0,28.25,1
2000-05-26,28.5,28.5,27.97,28.03,139600.0,28.031,1
2000-05-30,28.28,29.25,28.28,29.19,52200.0,29.188,1
2000-05-31,29.25,29.5,29.13,29.5,41100.0,29.5,1
2000-06-01,29.56,29.66,29.25,29.31,19300.0,29.312,1
2000-06-02,29.84,30.25,29.81,30.03,26900.0,30.031,1
2000-06-05,30.16,30.2,29.88,29.94,8100.0,29.938,1
2000-06-06,29.88,29.97,29.59,29.69,22800.0,29.688,1
2000-06-07,29.59,29.81,29.41,29.61,9400.0,29.609,1
2000-06-08,29.75,29.75,29.38,29.38,9500.0,29.38,1
2000-06-09,29.59,29.97,29.59,29.81,14300.0,29.813,1
2000-06-12,29.75,29.75,29.38,29.53,17200.0,29.531,1
2000-06-13,29.28,29.41,29.13,29.13,4100.0,29.13,1
2000-06-14,29.69,29.84,29.47,29.63,10100.0,29.625,1
2000-06-15,30.0,30.47,30.0,30.47,57000.0,30.469,1
2000-06-16,30.31,30.5,30.06,30.13,1318500.0,30.125,1
2000-06-19,30.31,30.41,30.16,30.31,21100.0,30.313,1
2000-06-20,30.06,30.38,29.94,30.27,5300.0,30.266,1
2000-06-21,30.03,30.25,30.0,30.13,134600.0,30.125,1
2000-06-22,30.0,30.22,30.0,30.06,25200.0,30.063,1
2000-06-23,30.06,30.06,29.31,29.5,2900.0,29.5,1
2000-06-26,29.5,29.5,29.13,29.22,6600.0,29.219,1
2000-06-27,29.16,29.38,29.06,29.16,59200.0,29.156,1
2000-06-28,29.34,29.48,29.03,29.03,42100.0,29.031,1
2000-06-29,29.0,29.47,28.91,29.47,31900.0,29.469,1
2000-06-30,29.38,29.56,29.33,29.56,16600.0,29.563,1
2000-07-03,29.25,29.5,29.25,29.5,2400.0,29.5,1
2000-07-05,29.56,29.78,29.41,29.69,83100.0,29.687,1
2000-07-06,29.72,29.84,29.41,29.63,12400.0,29.625,1
2000-07-07,29.5,29.91,29.5,29.88,14400.0,29.875,1
2000-07-10,29.84,29.84,29.41,29.63,23200.0,29.625,1
2000-07-11,29.28,29.5,29.22,29.3,6400.0,29.297,1
2000-07-12,29.73,30.0,29.56,29.84,98400.0,29.844,1
2000-07-13,29.66,30.06,29.66,29.94,5600.0,29.938,1
2000-07-14,30.16,30.41,29.97,30.41,4000.0,30.406,1
2000-07-17,30.44,30.44,30.0,30.03,26200.0,30.031,1
2000-07-18,29.78,29.91,29.55,29.56,56600.0,29.563,1
2000-07-19,29.69,29.97,29.63,29.75,7600.0,29.75,1
2000-07-20,29.91,30.28,29.91,30.22,2000.0,30.219,1
2000-07-21,30.09,30.09,29.44,29.47,6500.0,29.469,1
2000-07-24,29.5,29.5,29.16,29.19,61200.0,29.188,1
2000-07-25,29.44,29.44,29.09,29.2,42500.0,29.203,1
2000-07-26,29.25,29.28,28.97,28.97,26900.0,28.97,1
2000-07-27,29.13,29.34,29.08,29.16,2000.0,29.156,1
2000-07-28,29.22,29.22,28.63,28.84,7800.0,28.844,1
2000-07-31,29.0,29.13,28.94,29.13,33800.0,29.125,1
2000-08-01,29.03,29.59,29.03,29.38,6200.0,29.375,1
2000-08-02,29.31,29.63,29.31,29.5,9500.0,29.5,1
2000-08-03,29.44,29.66,29.28,29.66,18400.0,29.656,1
