date,open,high,low,close,volume,average,barCount
2000-03-27,14.18,14.28,14.11,14.14,28000.0,14.1405,1
2000-03-28,14.06,14.35,14.06,14.19,41600.0,14.1875,1
2000-03-29,14.31,14.52,14.31,14.47,24600.0,14.4685,1
2000-03-30,14.77,14.95,14.69,14.79,45000.0,14.789,1
2000-03-31,14.67,14.85,14.59,14.63,749200.0,14.633,1
2000-04-03,14.83,15.15,14.83,15.07,82000.0,15.0705,1
2000-04-04,15.32,15.38,14.3,14.88,142000.0,14.883,1
2000-04-05,14.81,14.97,14.75,14.9,23800.0,14.9065,1
2000-04-06,14.83,15.17,14.83,15.06,27200.0,15.0625,1
2000-04-07,15.15,15.25,15.06,15.06,111400.0,15.065,1
2000-04-10,15.17,15.43,15.13,15.42,31600.0,15.414,1
2000-04-11,15.26,15.54,15.26,15.53,92200.0,15.5235,1
2000-04-12,15.65,15.97,15.49,15.49,214000.0,15.492,1
2000-04-13,15.47,15.47,15.19,15.21,74800.0,15.203,1
2000-04-14,14.69,14.72,14.0,14.0,235200.0,14.0,1
2000-04-17,14.19,14.19,13.69,14.02,281200.0,14.0155,1
2000-04-18,13.94,14.36,13.86,14.31,104200.0,14.3125,1
2000-04-19,14.21,14.49,14.21,14.42,16800.0,14.422,1
2000-04-20,14.4,14.61,14.4,14.61,28600.0,14.6095,1
2000-04-24,14.61,15.03,14.61,14.77,24600.0,14.7655,1
2000-04-25,14.86,15.06,14.86,15.03,51200.0,15.0315,1
2000-04-26,14.97,15.08,14.97,15.02,23800.0,15.0155,1
2000-04-27,14.65,14.71,14.53,14.71,6600.0,14.703,1
2000-04-28,14.6,14.69,14.33,14.33,8600.0,14.33,1
2000-05-01,14.39,14.77,14.39,14.77,13400.0,14.7655,1
2000-05-02,14.55,14.72,14.55,14.67,130600.0,14.664,1
2000-05-03,14.08,14.21,13.89,13.97,334600.0,13.969,1
2000-05-04,13.9,13.9,13.67,13.74,45600.0,13.742,1
2000-05-05,13.77,13.94,13.77,13.92,30200.0,13.914,1
2000-05-08,13.78,13.92,13.69,13.88,109200.0,13.875,1
2000-05-09,14.1,14.19,14.02,14.02,35800.0,14.0155,1
2000-05-10,13.96,14.05,13.89,14.02,126000.0,14.0155,1
2000-05-11,14.22,14.25,14.14,14.14,36200.0,14.1405,1
2000-05-12,14.3,14.35,14.22,14.35,6000.0,14.344,1
2000-05-15,14.22,14.49,14.15,14.39,53400.0,14.3905,1
2000-05-16,14.63,14.63,14.38,14.5,15400.0,14.5,1
2000-05-17,14.22,14.24,14.13,14.15,19000.0,14.1565,1
2000-05-18,14.15,14.44,14.15,14.44,3200.0,14.4375,1
2000-05-19,14.15,14.31,14.06,14.07,3800.0,14.0705,1
2000-05-22,13.96,13.96,13.77,13.86,17000.0,13.8595,1
2000-05-23,13.85,14.03,13.8,13.8,40000.0,13.797,1
2000-05-24,13.67,13.67,13.31,13.55,7800.0,13.547,1
2000-05-25,13.6,13.64,13.42,13.42,42000.0,13.422,1
2000-05-26,13.4,13.4,13.14,13.14,80600.0,13.1405,1
2000-05-30,13.15,13.25,13.07,13.24,184000.0,13.242,1
2000-05-31,13.25,13.56,13.25,13.56,56000.0,13.5545,1
2000-06-01,13.5,13.65,13.5,13.65,3000.0,13.6565,1
2000-06-02,13.89,14.03,13.88,14.03,47400.0,14.031,1
2000-06-05,13.88,14.06,13.88,13.96,2400.0,13.953,1
2000-06-06,13.83,13.83,13.47,13.51,11200.0,13.508,1
2000-06-07,13.47,13.69,13.46,13.51,42200.0,13.508,1
2000-06-08,13.53,13.53,13.3,13.38,31600.0,13.375,1
2000-06-09,13.4,13.5,13.14,13.15,135400.0,13.156,1
2000-06-12,12.86,12.92,12.8,12.83,24800.0,12.828,1
2000-06-13,12.8,13.22,12.8,13.08,230800.0,13.078,1
2000-06-14,13.1,13.28,13.1,13.13,89200.0,13.125,1
2000-06-15,13.21,13.24,13.1,13.1,271600.0,13.095,1
2000-06-16,13.02,13.02,12.88,12.92,37200.0,12.922,1
2000-06-19,12.8,12.94,12.75,12.9,44600.0,12.9065,1
2000-06-20,12.85,12.85,12.6,12.63,28200.0,12.625,1
2000-06-21,12.63,12.63,12.51,12.54,324600.0,12.539,1
2000-06-22,12.47,12.94,12.38,12.49,513800.0,12.4845,1
2000-06-23,12.46,12.56,12.4,12.56,81800.0,12.5625,1
2000-06-26,12.64,12.71,12.06,12.56,26400.0,12.5625,1
2000-06-27,12.6,13.0,12.6,12.92,264600.0,12.922,1
2000-06-28,12.88,12.94,12.81,12.88,65800.0,12.875,1
2000-06-29,12.75,12.8,12.58,12.65,309800.0,12.656,1
2000-06-30,12.74,12.89,12.67,12.8,65400.0,12.797,1
2000-07-03,12.85,12.97,12.8,12.97,86600.0,12.969,1
2000-07-05,13.08,13.19,13.03,13.13,112000.0,13.125,1
2000-07-06,13.13,13.3,13.11,13.22,15400.0,13.219,1
2000-07-07,13.28,13.88,13.28,13.86,355000.0,13.8595,1
2000-07-10,13.74,14.14,13.74,14.06,247800.0,14.0625,1
2000-07-11,14.08,14.28,14.08,14.17,128200.0,14.164,1
