date,XLB,XLE,XLF,XLK,XLI,XLP,XLU,XLV,XLY,XLRE,XLC,QQQ,IWM,TLT,USO,GLD,SPY,HYG,LQD,VIX
2000-03-27,11.21,14.06,19.54,32.25,28.69,20.31,13.15,31.0,14.14,,,117.75,,,,,151.94,,,
2000-03-28,11.0,14.0,19.69,31.47,28.61,20.55,13.09,31.03,14.19,,,114.75,,,,,151.06,,,
2000-03-29,11.22,14.74,19.54,30.55,28.97,21.05,13.32,30.56,14.47,,,110.0,,,,,151.22,,,
2000-03-30,11.53,14.74,19.58,29.72,29.16,21.33,13.29,30.13,14.79,,,107.25,,,,,148.69,,,
2000-03-31,11.53,14.65,19.71,30.28,29.2,21.22,13.37,30.67,14.63,,,109.5,,,,,150.38,,,
2000-04-03,11.9,14.9,20.66,29.0,29.33,22.19,13.46,30.66,15.07,,,103.0,,,,,151.25,,,
2000-04-04,11.79,14.72,19.83,28.72,29.0,22.81,13.64,30.31,14.88,,,101.94,,,,,145.75,,,
2000-04-05,11.7,14.28,19.67,28.91,28.89,22.5,13.82,30.11,14.9,,,100.13,,,,,149.19,,,
2000-04-06,11.63,14.65,19.89,29.28,29.14,22.09,13.9,30.69,15.06,,,102.44,,,,,150.48,,,
2000-04-07,11.44,14.43,19.49,30.28,29.58,21.81,13.87,30.77,15.06,,,106.63,,,,,151.44,,,
2000-04-10,11.72,14.22,20.05,29.19,29.63,22.36,13.84,30.56,15.42,,,100.13,,,,,150.84,,,
2000-04-11,12.0,14.47,20.3,28.47,29.98,22.75,14.2,30.83,15.53,,,97.75,,,,,150.41,,,
2000-04-12,12.31,14.6,20.39,26.63,29.45,23.02,14.32,30.27,15.49,,,92.38,,,,,146.28,,,
2000-04-13,11.97,14.56,19.85,26.11,29.53,22.86,14.34,29.5,15.21,,,88.0,,,,,144.25,,,
2000-04-14,11.31,14.25,18.25,24.75,27.59,21.73,13.81,27.72,14.0,,,80.38,,,,,136.0,,,
2000-04-17,11.33,13.9,18.4,26.1,28.27,22.36,13.6,27.95,14.02,,,89.63,,,,,140.75,,,
